rank	username	minecraft:dropped/minecraft:magenta_dye
1	thewindmillman	307918
2	noam464	25944
3	Smoke____	3458
4	SteveCraftBlocks	832
5	imaginek1d	402
6	Bandito_Roamer	201
6	Ecplosive	201
8	HellsSponge	130
9	stahouo	113
10	joethahobo	66
11	ShedJr_	65
12	pZygh0st	64
13	Blu3beast	63
14	FishisTTV	62
15	Swexti	33
16	EMC_	32
16	TheSecondLord	32
18	Blaiku	30
19	Zippyzam	21
20	eitanzaki	20
21	Racengan	18
22	WET_WET_WET	16
22	EcksDofficial	16
24	pintsizedrogue	12
24	CruncyIsTaken	12
24	MinerDec	12
27	TechnoNinja64	11
28	_naturell	9
28	OfficerAnvil	9
30	squigglybones	6
30	MinuteMira	6
30	Sorins	6
33	Covalents	5
34	Hpdinosaur	4
34	Blackberry1310	4
34	1442	4
34	Eraxa	4
38	beeperbeeper5	3
38	Inchef	3
38	ROY4LE	3
38	RobotMinion101	3
42	SaucyDark	2
42	Mahoose	2
42	r123moore	2
42	Hyp3rion_	2
42	seramalen	2
42	Ender_Souls	2
42	Jiminie	2
42	lillips	2
42	chipklip	2
42	NameGenerat0r	2
42	Quaintster	2
42	lordpipe	2
42	Kowcio_	2
42	djancak	2
56	_Virify_	1
56	I_Am_Mushkin	1
56	Iagoku	1
56	Prismyst	1
56	Myszoaz	1
56	Koffeeinz	1
56	Fullut	1
56	thescout7	1
56	Xalithia	1
56	Arceus1975	1
56	Voxin2K	1
56	AuroraSkies	1
56	NomadicRobin_	1
56	Xclax101	1
56	Kyrum2169	1
56	PortlyPete69	1
56	EcksD	1
56	jnp_gaming	1
