rank	username	minecraft:dropped/minecraft:orange_concrete
1	Hyp3rion_	2698
2	Jackattack53	1664
3	Uzbeki_John	314
4	lordpipe	181
5	Manaateee	128
6	MakeHistory157	110
7	TheKingK_	64
8	Mattesco	62
9	craaaash	61
10	ShedJr_	41
11	pintsizedrogue	38
12	beeperbeeper5	23
13	Huwulling	8
13	thewindmillman	8
13	OG_Songsee	8
16	Jimb0nat0r	6
17	Nat1000	5
17	IAmTheWalrus910	5
17	TechnoNinja64	5
20	Sheldor097	3
20	Yamdalorian	3
22	knarian	2
22	noam464	2
22	luseis	2
22	2blox_	2
26	Incinere	1
26	frankvosss	1
26	Skylord_Luke	1
26	Eraxa	1
26	Kowcio_	1
