rank	username	minecraft:dropped/minecraft:brain_coral
1	Jackattack53	44
2	500am	38
3	Di_infiri	12
4	noam464	5
5	thewindmillman	4
6	ImpavidArcher	3
6	Mahoose	3
6	Maenara	3
9	Lez_	2
10	Blackberry1310	1
10	TheSecondLord	1
10	Onennon	1
10	PigDab	1
10	Akoot_	1
10	luseis	1
10	ConnorDanky_	1
10	Enderxz3	1
10	Sral7	1
10	h2p_emrld	1
