rank	username	minecraft:dropped/minecraft:orange_banner
1	beeperbeeper5	92
2	eitanzaki	68
3	FreakGenius	38
4	jnp_gaming	33
5	jaimshae	20
6	Werbe	18
7	Fullut	14
8	Lez_	13
9	Blaiku	12
10	Huwulling	9
10	Kowcio_	9
12	skitzxo	7
13	tuckerdoodle	6
14	bl1ss0	5
15	pintsizedrogue	4
15	Mr_Byzantine	4
15	Whiterooster001	4
18	pretty_pink_reno	3
19	PazinGaming	2
19	ShedJr_	2
19	TheSecondLord	2
19	_Dean_123	2
19	burbankbuilder28	2
19	Akoot_	2
19	EveryonesUncle	2
19	Buuck_	2
19	pixelviolin	2
19	Nicserso	2
29	funeralhome	1
29	Merv__	1
29	CompAir	1
29	Mahoose	1
29	MattieHD	1
29	zcrk	1
29	ChillenChiggen	1
29	hanaryheatwave	1
29	Skylord_Luke	1
29	luseis	1
29	emreknugrlu	1
29	Xclax101	1
29	Eraxa	1
29	00000000-0000-0000-0009-01ff0c3e5e4f	1
