rank	username	minecraft:dropped/minecraft:shulker_shell
1	thewindmillman	231850
2	noam464	50573
3	EcksD	5698
4	Hyp3rion_	2924
5	stahouo	847
6	Segotep999	614
7	PhantomsGhost_	539
8	Spacewardharpy7	485
9	Werbe	375
10	TheSecondLord	352
11	fffMike	268
12	HolyVenom	194
13	mwrty	192
13	Jimi7hits	192
15	Drlzyy	156
15	Txeptsyip	156
17	NameGenerat0r	154
17	jnp_gaming	154
19	Awyrlas	130
20	joethahobo	128
20	groofles	128
22	Dogcorn69420	122
23	Skippeh	104
24	Marbz_	96
25	masskedman	76
25	lcvezra	76
27	Rebytre	65
28	SvenskaHugo	64
28	YungMaki	64
30	ImpavidArcher	60
30	iHuntWeeaboos	60
32	Fullut	59
33	Blackberry1310	52
33	ToastedGamingYT	52
35	Groundler	47
36	PigDab	44
37	AuroraValkyrie	42
37	MattieHD	42
39	AlexxO_o	39
39	Blaiku	39
41	laron58	36
42	Smoke____	35
43	SteveCraftBlocks	34
44	TheMilkerOfCats	33
45	EMC_	31
45	Blu3beast	31
47	pintsizedrogue	30
48	kinas45y5	27
49	Meeerkat	26
50	SlayerCrypto	24
51	beeperbeeper5	22
52	gabriels543	20
53	T045RTY	18
54	PlasticOtari	17
55	Bandito_Roamer	16
55	Freak_Genius	16
55	UrbanPlanner1978	16
58	claivin	15
58	Sheldor097	15
60	Inchef	14
60	Rasmanden	14
62	Alteriity	12
62	Rich_Kat	12
62	mariominejedi	12
62	Bumpy419	12
62	LeGold	12
67	eitanzaki	10
67	Akoot_	10
67	FishisTTV	10
70	EveryonesUncle	9
71	Di_infiri	8
72	Enderslayerxz3	7
73	Historical_Sand	6
73	lillips	6
73	Shogunite	6
76	Eraxa	5
77	_Virify_	4
77	YungJakobo	4
77	SellyZ	4
77	domagawha	4
77	OLookItsAnxiety	4
77	DarlaMeow	4
77	microcrisp	4
84	jimintyy	3
84	Covalents	3
84	AltnumberF4	3
87	Krasnal1337	2
87	soundad	2
87	H72l9w	2
87	Comma__	2
87	ROY4LE	2
87	CollinMH06	2
87	Gab4101	2
87	Fuad_R	2
87	Racengan	2
87	lordpipe	2
97	funeralhome	1
97	Merv__	1
97	MinttyFressh	1
97	set67	1
97	ayqq	1
97	fr_ser	1
97	Onennon	1
97	Shiirazuku	1
97	Maenara	1
97	fw3xywashere	1
97	AuroraSkies	1
97	yulgur1	1
97	HellsSponge	1
97	Nycteus_	1
97	PortlyPete69	1
97	MilleGrug	1
97	VentiHilton	1
97	Nicserso	1
