rank	username	minecraft:dropped/minecraft:red_carpet
1	EcksD	11469
2	thewindmillman	11380
3	Spacewardharpy7	5254
4	beeperbeeper5	1190
5	SullyhS	640
6	lordpipe	561
7	Di_infiri	522
8	Soplight	484
9	Huwulling	424
10	HellsSponge	297
11	Smashic	268
12	Lez_	187
13	Xclax101	166
14	weabis	158
15	hermmm_	134
16	FreakGenius	121
17	Lord_Jord	107
18	Skylord_Luke	101
19	emreknugrlu	98
20	EMC_	83
21	ConnorDanky_	77
22	Segotep999	71
23	luseis	69
24	Historical_Sand	66
25	r123moore	63
26	Mahoose	55
27	mwrty	54
28	skitzxo	48
29	EveryonesUncle	45
30	PazinGaming	42
30	NomadicRobin_	42
32	Hyp3rion_	40
33	k_ce	37
34	Yamdalorian	35
35	Eczbek	33
36	NumbaOneMunch	32
36	KingMatthew506	32
38	Kowcio_	29
39	jnp_gaming	28
40	PigDab	27
41	ShedJr_	25
42	pintsizedrogue	21
42	burbankbuilder28	21
42	YungMaki	21
42	xzvu	21
46	WET_WET_WET	20
47	NameGenerat0r	19
48	SmashingPump	17
48	Chromary	17
48	Steelynan	17
51	Frozil20	16
51	Werbe	16
53	Merv__	15
54	Inchef	14
54	noam464	14
56	_Mythic____	13
57	Voxin2K	12
58	Apollo_993	10
58	_i_ERROR_i_	10
60	_Huge_Male_	9
60	Akoot_	9
62	hm947	8
62	fffMike	8
64	eitanzaki	7
64	rarrq	7
64	kekhon	7
64	redikul	7
64	MAns_44	7
69	AuroraValkyrie	6
69	500am	6
69	xxPipperDipperxx	6
69	pretty_pink_reno	6
69	PlasticOtari	6
74	SaucyDark	5
74	shadowthemonkey	5
74	bobbydoodledot	5
77	ExtraDumb	4
77	joethahobo	4
77	SquadMonster	4
77	MattieHD	4
77	Fullut	4
77	Mattesco	4
77	MightyWertu	4
77	Optiprimus	4
77	Legendosh	4
86	Zee_zey	3
86	teslawolf38	3
86	heckface	3
86	TheSecondLord	3
86	bloodbiter	3
86	MinttyFressh	3
86	SteveCraftBlocks	3
86	Winklepicker279	3
86	Eczbox	3
86	Onennon	3
86	TheShyPig	3
86	AlphaWolfPlaysMC	3
86	DarlaMeow	3
86	El_Jalapeno	3
86	Blaiku	3
86	lunkuku	3
86	JoCoLi	3
86	Shin69	3
86	Sral7	3
105	Froste131	2
105	I_Am_Mushkin	2
105	MSK__	2
105	MrKrabOnCoke	2
105	elmer1234	2
105	Vizzoid	2
105	m_be9	2
105	_Nuf	2
105	Secret_Canary	2
105	paranoid_plant	2
105	Hoshi	2
105	RebytreGT	2
105	MinerDec	2
105	ougstur	2
105	Jimi7hits	2
105	camerade	2
105	Factoroni	2
105	Sheldor097	2
105	laron58	2
105	Dr0xzy	2
105	Enderxz3	2
126	Mr_Byzantine	1
126	ImpavidArcher	1
126	Wooptey	1
126	Ozixar	1
126	Prodiginus	1
126	Saucepeh	1
126	Crowman1	1
126	12Magner05	1
126	Kamflame	1
126	CosmicStardustt	1
126	fr_ser	1
126	MyNameIsJobo	1
126	oscminus	1
126	fw3xy74	1
126	KermitTheKripple	1
126	Avocadogerms	1
126	claivin	1
126	blackeemperor	1
126	Airem_Core	1
126	ElectricDragon81	1
126	erkada	1
126	bulitproof	1
126	OfficerAnvil	1
126	CattSoup	1
126	AltnumberF4	1
126	TechnoNinja64	1
