rank	username	minecraft:dropped/minecraft:stone_sword
1	HellsSponge	1423
2	thescout7	436
3	noam464	375
4	thewindmillman	253
5	eitanzaki	248
6	Frozil12	236
7	joethahobo	179
8	Di_infiri	153
9	Blaiku	94
10	Spacewardharpy7	91
11	Werbe	75
12	PigDab	64
12	vandmanden	64
14	chipklip	57
15	YungMaki	54
16	Groovy_MoonBird	43
17	Cryptacity	39
18	audiocracked	38
19	Arceus1975	37
19	Onennon	37
19	Kyrum2169	37
22	SaucyDark	32
23	RebelAndroid	29
23	MilleGrug	29
25	beeleg	26
26	Mahoose	24
27	ShedJr_	23
27	TheSecondLord	23
27	Corbsman	23
30	C0oOK13M0N5T3R	22
30	Powowowow	22
32	Skippeh	21
33	Prismyst	20
33	Rasmanden	20
35	TooManyDuck	19
36	beeperbeeper5	18
36	Guillemet	18
36	Snowflowe	18
36	NomadicRobin_	18
36	NotMeowMix	18
36	Smoke____	18
42	Hyp3rion_	17
42	wezzzi	17
42	CalebDHawk	17
45	Zythose	16
45	MightyWertu	16
47	r123moore	15
47	Blu3beast	15
47	Hisiste	15
50	tuckerdoodle	14
51	KingFaenor	13
51	mwrty	13
53	Mewar	12
53	TheSeismicDuck	12
53	Zoeyfortnite	12
56	Bandito_Roamer	11
56	Comma__	11
56	M_Patata	11
56	MasterNueve	11
56	pixelviolin	11
56	Soplight	11
56	stahouo	11
56	_TCARREIRA_	11
64	Hyugo	10
64	_Nuf	10
64	Hiryu27	10
64	Ezekson	10
64	oxfordschool	10
69	eiC_	9
70	SteveCraftBlocks	8
70	RobotMinion101	8
70	Akoot_	8
70	Eraxa	8
70	PortlyPete69	8
70	h2p_emrld	8
76	Blackberry1310	7
76	boog4loo	7
76	himak1	7
76	SellyZ	7
76	Winklepicker279	7
76	Jackattack53	7
76	Rumpletaezer	7
76	_8man	7
76	ApophisNova	7
76	masskedman	7
76	fluddd	7
76	Groundler	7
76	babyjimmyneutron	7
76	LordSpeed37	7
76	Professor_x8	7
76	MyNamaSheff	7
76	Legendosh	7
76	FishisTTV	7
94	Merv__	6
94	youhjjhhhjj	6
94	Euclidoris	6
94	Warlord324	6
94	VintagePlays	6
94	33sudo	6
94	stavgod	6
94	__tomato	6
94	Kferno	6
94	BreadBacon	6
94	PlasticOtari	6
94	kinas45y5	6
106	pintsizedrogue	5
106	301851	5
106	Bumpy419	5
106	fred870d	5
106	brycepants	5
106	AlphaWolfPlaysMC	5
106	GoofyBread	5
106	claivin	5
106	censorsheep	5
106	PlzNoBM	5
106	Kubeusz2010	5
106	TechnoNinja64	5
118	BigBootyHudge	4
118	6king6colt6	4
118	ColeSnyder	4
118	Historical_Sand	4
118	gaziter10	4
118	BobDeBouwer1337	4
118	kekhon	4
118	__TheNorseMan__	4
118	Zaridey	4
118	ToastedGamingYT	4
118	Blenderyoda	4
118	Xclax101	4
118	RedcatVII	4
118	Toriankel	4
118	wwwwinnebagoooo	4
118	GigiDuru	4
118	UrbanPlanner1978	4
118	00000000-0000-0000-0009-01f16526f034	4
136	AuroraValkyrie	3
136	Ailmast	3
136	jpoxman	3
136	ImpavidArcher	3
136	H72l9w	3
136	Rorrofighter	3
136	ratglock	3
136	m_be9	3
136	Ardennes	3
136	blockgamer_69	3
136	Kkanot	3
136	Awyrlas	3
136	ROY4LE	3
136	gcaisawesome	3
136	VanJosh	3
136	Boogaloo242	3
136	2_young_2_die	3
136	Chromary	3
136	pappaberg	3
136	Jeteight	3
136	Rebytre	3
136	ooga47	3
136	Kouridragon	3
136	BRRRN179	3
136	Jonte0599	3
136	TheShyPig	3
136	HolyVenom	3
136	groofles	3
136	Skyle169	3
136	PartyPhoenix	3
136	Karbl	3
136	E775	3
136	BigCronkin	3
136	MAns_44	3
136	Cyntrical	3
136	Universz	3
136	Vorlice	3
136	SUN_DREAM	3
136	Cocoamallows	3
136	Meeerkat	3
136	Winston_Ingram	3
136	K_a__a_n	3
136	TrollerYT	3
136	mountaingirl311	3
136	JayToe	3
181	Whalezz	2
181	elicobnoah	2
181	Cowison	2
181	JustMaleen	2
181	soundad	2
181	The_Dark_One_00	2
181	EMC_	2
181	I_Am_Mushkin	2
181	Begformurrcy	2
181	Iagoku	2
181	error10101	2
181	freeandrew	2
181	itburb	2
181	Incinere	2
181	seba070c	2
181	Seyaboy	2
181	lotarp	2
181	fr0stss	2
181	TheEnusa	2
181	Shadoko_	2
181	Koffeeinz	2
181	ABUSNA1996	2
181	cwin95	2
181	ProfessorBee	2
181	Austine6698	2
181	Fullut	2
181	ConcretePirate	2
181	Smashic	2
181	AngalexikCZ	2
181	Master_Kol	2
181	Gingayy	2
181	Commander_Ange	2
181	Mariopreeet	2
181	2Stout	2
181	SpicyMeatballs	2
181	IceYoung	2
181	FennYuzuna	2
181	BlueZabu	2
181	Orcus113	2
181	loveseeker	2
181	AJplaysMC_	2
181	whoaluv	2
181	Nope______	2
181	WET_WET_WET	2
181	tobinwilliams	2
181	lOlmantschi	2
181	seramalen	2
181	CruncyIsTaken	2
181	jewbacaman	2
181	CaptainAvenger7	2
181	victorLIE	2
181	ClemenPine	2
