rank	username	minecraft:dropped/minecraft:quartz_pillar
1	Spacewardharpy7	789
2	Fuad_R	481
3	Zoeyfortnite	448
4	EMC_	358
5	noam464	228
6	lordpipe	198
7	Blaiku	147
8	Soplight	129
9	Hyp3rion_	114
10	skrongus	91
11	kekhon	88
12	Frozil20	87
13	lillips	78
14	Jackattack53	65
15	FreakGenius	58
16	shineh10	55
16	EcksD	55
18	Xclax101	44
19	marumochis	42
20	MovingFish7	32
21	MakeHistory157	31
22	Lez_	30
22	NameGenerat0r	30
24	Moofyman	28
25	TechnoNinja64	24
26	MousePlays	23
27	beeperbeeper5	20
28	_Dean_123	18
29	joethahobo	16
29	Crowman1	16
31	Akoot_	15
32	AJplaysMC_	14
33	Groovy_MoonBird	13
34	Incinere	12
34	Blu3beast	12
34	__Auspicious	12
37	Tyrannosplart	10
37	xzvu	10
39	Blackberry1310	9
39	Skippeh	9
41	CattSoup	8
42	ImNotYuqii	7
42	Rumpletaezer	7
42	Racengan	7
45	pintsizedrogue	6
45	Trixididntdie	6
45	HellsSponge	6
45	Groundler	6
49	Whiterooster001	5
49	SSytex_X	5
51	Bandito_Roamer	4
51	ApophisNova	4
51	EveryonesUncle	4
51	MyNamaSheff	4
55	RobotMinion101	3
56	SyntheticSurgeon	2
56	Comma__	2
56	AltnumberF4	2
59	JohnnyFyes	1
59	PazinGaming	1
59	ImpavidArcher	1
59	RebelAndroid	1
59	Huwulling	1
59	Mahoose	1
59	SirMinza	1
59	pr33tu	1
59	ProfessorBee	1
59	500am	1
59	thescout7	1
59	Di_infiri	1
59	Chromary	1
59	Skylord_Luke	1
59	Onennon	1
59	fkGrim	1
59	obzii	1
59	MirielThePastor	1
59	PlasticOtari	1
