rank	username	minecraft:dropped/minecraft:smooth_sandstone_stairs
1	lillips	207
2	Freak_Genius	204
3	SteveCraftBlocks	184
4	eitanzaki	158
5	2Stout	125
6	DarlaMeow	77
7	Frozil12	70
8	Sky_light_KING	56
9	ImpavidArcher	53
10	TechnoNinja64	50
11	NameGenerat0r	38
12	Soplight	23
13	Steelynan	14
14	kekhon	13
14	Wowful	13
14	Racengan	13
17	WyngGoy	12
17	Nicserso	12
19	Vizzoid	11
19	RodSerlingCringe	11
21	WarMachina	10
22	Hermanni__	8
23	Ssor69	6
23	ooga47	6
23	Enderslayerxz3	6
26	Skylord_Luke	5
26	Akoot_	5
28	KarlKaek	4
28	YungJakobo	4
28	TheDankPlatypus	4
28	Di_infiri	4
32	SeverianTheLame	3
33	I_Am_Mushkin	2
33	Mahoose	2
33	Awyrlas	2
33	Babushka0430	2
33	chipklip	2
33	Fuad_R	2
33	Winston_Ingram	2
33	Calbo_	2
41	pintsizedrogue	1
41	Bandito_Roamer	1
41	Merv__	1
41	RebelAndroid	1
41	joethahobo	1
41	Blackberry1310	1
41	MousePlays	1
41	_Bguette_	1
41	Nycteus_	1
41	fluddd	1
41	ElectricDragon81	1
41	__tomato	1
41	stahouo	1
41	Ezekson	1
41	oxfordschool	1
41	jnp_gaming	1
