rank	username	minecraft:dropped/minecraft:acacia_boat
1	500am	624
2	Blu3beast	47
3	Groovy_MoonBird	24
4	beeperbeeper5	20
5	eitanzaki	18
6	FelixPSY375	15
7	Frozil12	13
8	Euclidoris	11
9	EcksD	9
10	Chromary	8
10	Eraxa	8
12	Mahoose	7
12	lordpipe	7
12	TechnoNinja64	7
15	Vizzoid	6
15	kekhon	6
15	noam464	6
15	Akoot_	6
15	Freak_Genius	6
15	CalebDHawk	6
21	the__Reaper4999	5
21	Soplight	5
21	Smoke____	5
24	Incinere	4
24	rarrq	4
24	ROY4LE	4
24	Zythose	4
24	Blaiku	4
29	Merv__	3
29	ProfessorBee	3
29	SteveCraftBlocks	3
29	thescout7	3
29	DarlaMeow	3
29	sebastiensaborio	3
29	MilleGrug	3
29	Sral7	3
29	Zoeyfortnite	3
29	h2p_emrld	3
39	pintsizedrogue	2
39	diamondgolem35	2
39	Hpdinosaur	2
39	youhjjhhhjj	2
39	Blackberry1310	2
39	TheSecondLord	2
39	bmac2718	2
39	gcaisawesome	2
39	r123moore	2
39	mimbo1211	2
39	mariominejedi	2
39	MyNameIsJobo	2
39	Di_infiri	2
39	Hiryu27	2
39	fred870d	2
39	Kynigito	2
39	Leyna3	2
39	yulgur1	2
39	EveryonesUncle	2
39	ydad	2
39	Deerfoot	2
39	C0oOK13M0N5T3R	2
39	Hisiste	2
39	IAmTheWalrus910	2
39	starbits140	2
39	Spenduh	2
39	SammiWolfGirl	2
39	PortlyPete69	2
39	SunsetwolfGG	2
39	Sheldor097	2
39	jcool7	2
39	_3Stump_	2
39	KingMatthew506	2
39	Nicserso	2
39	Enderslayerxz3	2
74	Froste131	1
74	MixerDixer	1
74	Drlzyy	1
74	Healthing	1
74	KingFaenor	1
74	ImpavidArcher	1
74	Wooptey	1
74	_R_y__a_n_	1
74	Natty	1
74	MOSS000	1
74	MSK__	1
74	Swexti	1
74	Rorrofighter	1
74	MattieHD	1
74	AdvertisingMerc	1
74	_Dean_123	1
74	CarbonatedCola	1
74	mwrty	1
74	himak1	1
74	Xalithia	1
74	xxPipperDipperxx	1
74	eiC_	1
74	platinumzero	1
74	Styris	1
74	GOOBERGABE04	1
74	SuperPooch06	1
74	Arceus1975	1
74	burbankbuilder28	1
74	killmeiamtraitor	1
74	andy_rex	1
74	AlexStrange	1
74	Bumpy419	1
74	Werbe	1
74	DeeDeeThonk	1
74	CruncyIsTaken	1
74	TheShyPig	1
74	sammidk	1
74	aa2x_	1
74	makw	1
74	ADEXTV	1
74	Wowful	1
74	Roikdean	1
74	TheSeismicDuck	1
74	masskedman	1
74	Lord_Zacler	1
74	Deathkob	1
74	_Bguette_	1
74	lillips	1
74	Babushka0430	1
74	Meatlaugh	1
74	HellsSponge	1
74	NameGenerat0r	1
74	Quaintster	1
74	Leeeegend	1
74	AssEatrAndLicker	1
74	Nycteus_	1
74	fluddd	1
74	Groundler	1
74	SUN_DREAM	1
74	MakeHistory157	1
74	Razzgriz	1
74	alucarrdd	1
74	Nagasaki_Riku	1
74	Soul_Atreus	1
74	sadvavilloso	1
74	__tomato	1
74	PncakeUniverse	1
74	Pelku	1
74	PlzNoBM	1
74	Slovitypagus	1
74	oxfordschool	1
74	_AAZAR	1
74	little_dUki	1
74	jnp_gaming	1
74	MeetTheWollo	1
74	Powowowow	1
74	UrbanPlanner1978	1
74	kinas45y5	1
74	EcksDofficial	1
