rank	username	minecraft:dropped/minecraft:gray_bed
1	SmashingPump	48
2	Hetti301	32
3	Tyrannosplart	14
4	pixelviolin	13
4	alkrie	13
6	IdeallyGrey	9
7	PlasticOtari	7
8	TheOuterCore	6
9	k_ce	4
10	pintsizedrogue	3
11	powercas_gamer	2
11	diamondgolem35	2
11	Prismyst	2
11	beeperbeeper5	2
11	kekhon	2
11	Hyp3rion_	2
11	Shogunite	2
11	Soplight	2
19	Merv__	1
19	fr0stss	1
19	Secret_Canary	1
19	noam464	1
19	Snowflowe	1
19	Zeezap	1
19	PaperCanvas	1
19	sammidk	1
19	EveryonesUncle	1
19	MAns_44	1
19	Blaiku	1
19	Segotep999	1
19	EcksD	1
19	FelixPSY375	1
