rank	username	minecraft:dropped/minecraft:red_bed
1	PigDab	951
2	diamondgolem35	45
3	Soplight	31
4	Racengan	24
5	eitanzaki	12
6	RadarHz	10
7	HellsSponge	9
8	Merv__	6
8	kekhon	6
8	Eraxa	6
11	_Nuf	4
11	noam464	4
11	Jiminbub	4
11	ayamefag	4
15	beeperbeeper5	3
15	rarrq	3
15	xxPipperDipperxx	3
15	fw3xywashere	3
15	Blaiku	3
20	pintsizedrogue	2
20	PhantomsGhost_	2
20	EMC_	2
20	bigstankyy	2
20	himak1	2
20	King_Pancake1	2
20	Rebytre	2
20	fkGrim	2
20	luseis	2
20	lillips	2
20	Quaintster	2
20	FreakGenius	2
20	fluddd	2
20	CattSoup	2
20	PlasticOtari	2
35	Elprone266	1
35	RoskobiOne	1
35	SmashingPump	1
35	Lez_	1
35	Luna_Rosie	1
35	CyrusIsTired	1
35	SuperPooch06	1
35	whoaluv	1
35	Chromary	1
35	MangoTheFish	1
35	DAD_1996	1
35	CaptainDeadBread	1
35	iElijah	1
35	ougstur	1
35	Leyna3	1
35	NoChumpChange	1
35	EveryonesUncle	1
35	Russiancat1	1
35	Deathkob	1
35	DarlaMeow	1
35	Blu3beast	1
35	Spacewardharpy7	1
35	KayleeGrace58	1
35	Eczbek	1
35	CityPotato	1
35	Skippeh	1
35	StamWolf	1
35	EcksD	1
35	xolstoi	1
35	Smoke____	1
