rank	username	minecraft:dropped/minecraft:soul_campfire
1	Hyp3rion_	5243
2	500am	103
3	Shogunite	66
4	Masssonnn	4
4	fffMike	4
6	Mahoose	3
7	mattybeewrapss	2
7	CalebDHawk	2
9	Jackattack53	1
9	Eraxa	1
9	EcksD	1
