rank	username	minecraft:dropped/minecraft:yellow_terracotta
1	thewindmillman	92464
2	CuzIm2Kev	661
3	lillips	514
4	Kowcio_	491
5	weabis	412
6	ProfessorBee	384
7	SteveCraftBlocks	320
8	the_russell1611	225
9	EcksD	197
10	TheSecondLord	178
11	FreakGenius	152
12	YungMaki	129
13	Akoot_	128
14	StarCookiees_	126
14	ConnorDanky_	126
16	eitanzaki	124
17	Spenduh	123
18	xxPipperDipperxx	112
19	Hyp3rion_	109
20	ooga47	78
21	ImpavidArcher	76
22	Jackattack53	74
23	lunathelemon	68
24	Shogunite	64
24	KingMatthew506	64
26	Nicserso	55
27	TheWildMateo	43
28	AuroraValkyrie	42
29	shrimp_flips	40
30	Spacewardharpy7	39
30	MovingFish7	39
32	kekhon	35
33	Avocadogerms	25
34	gcaisawesome	24
34	THEKINGLyric10	24
36	Krowuss	22
37	PazinGaming	21
37	yheece	21
37	Jimb0nat0r	21
40	QuiCreans	18
41	oscminus	14
42	Crowman1	13
43	oreee	12
43	Di_infiri	12
45	MAns_44	11
46	Inchef	10
47	Secret_Canary	8
47	fade_emerge78823	8
49	EMC_	7
49	Kakolbus	7
51	Swexti	6
51	LilLizardWizard	6
51	MilleGrug	6
54	Mahoose	5
54	prizm_	5
56	Apollo_993	4
56	noam464	4
58	rarrq	3
58	Parcc	3
58	Enderxz3	3
61	Frozil20	2
61	ROY4LE	2
61	Rumpletaezer	2
61	Onennon	2
61	HeraclesOGU	2
61	LeonelSalamanca	2
61	luseis	2
61	Tyrannosplart	2
61	Darkgon	2
61	yatsuta	2
61	__tomato	2
72	MunkaKris	1
72	_Virify_	1
72	PhantomsGhost_	1
72	Lez_	1
72	beeperbeeper5	1
72	Scattman_	1
72	mwrty	1
72	Nyxiom_	1
72	Rebytre	1
72	Mattesco	1
72	lizardfightclub	1
72	fw3xy74	1
72	Blu3beast	1
72	Blaiku	1
72	stavgod	1
72	AssFullaCum	1
72	djancak	1
72	Soplight	1
72	SSytex_X	1
72	fffMike	1
72	Hermanni__	1
72	Legendosh	1
