rank	username	minecraft:dropped/minecraft:iron_helmet
1	Blaiku	66
2	noam464	63
3	thescout7	57
4	FreakGenius	50
5	Di_infiri	47
6	eitanzaki	46
7	Werbe	41
8	Hyp3rion_	37
9	TheSecondLord	34
10	Smashic	30
10	Spacewardharpy7	30
12	beeperbeeper5	29
12	thewindmillman	29
14	rarrq	23
15	Frozil20	20
15	YungMaki	20
17	Bumpy419	19
17	AdmiralSmoke	19
19	jnp_gaming	18
20	Skylord_Luke	17
21	diamondgolem35	16
21	mwrty	16
21	Eraxa	16
21	xzvu	16
25	DemTechAlpha	15
26	excelsionprime	14
26	Groundler	14
26	ConnorDanky_	14
26	cichy096	14
30	Kakolbus	13
30	MonitorLizards	13
30	Tyrannosplart	13
30	Sral7	13
34	SmashingPump	12
34	emrekn	12
34	mariominejedi	12
34	EveryonesUncle	12
34	Soplight	12
39	Ryker	11
39	kekhon	11
39	Fullut	11
39	Chromary	11
43	Apollo_993	10
43	Mahoose	10
43	Blackberry1310	10
43	Akoot_	10
43	lillips	10
43	Powowowow	10
49	MightyWertu	9
49	Hisiste	9
49	lordpipe	9
49	Kubeusz2010	9
53	EMC_	8
53	joethahobo	8
53	Rebytre	8
53	ClemenPine	8
53	djancak	8
53	PortlyPete69	8
53	Ezekson	8
53	PlasticOtari	8
61	ECstardust	7
61	HellsSponge	7
61	DanTheBuilderino	7
61	ReflexCode	7
61	AssFullaCum	7
61	Skippeh	7
67	pintsizedrogue	6
67	Lez_	6
67	Rich_Kat	6
67	MinttyFressh	6
67	Tiberonus	6
67	MattieHD	6
67	_Nuf	6
67	set67	6
67	Jackattack53	6
67	Solar_Power	6
67	masskedman	6
67	Manaateee	6
67	fluddd	6
67	Racengan	6
67	ayamefag	6
67	Kyrum2169	6
67	laron58	6
67	EcksD	6
67	vandmanden	6
67	xolstoi	6
87	Bandito_Roamer	5
87	PhantomsGhost_	5
87	T045RTY	5
87	_Dean_123	5
87	lorpus	5
87	Xalithia	5
87	GreedyFern8581	5
87	Mattesco	5
87	PigDab	5
87	Lord_Jord	5
87	NomadicRobin_	5
87	monky_irl	5
87	SexcMf	5
87	Kowcio_	5
87	obzii	5
87	smogfrog	5
103	Jovaphobic	4
103	JohnnyFyes	4
103	fanofbands101	4
103	CloroxBleach385	4
103	dimondking777	4
103	ImpavidArcher	4
103	TooManyDuck	4
103	Hpdinosaur	4
103	Incinere	4
103	Stynxy	4
103	Arceus1975	4
103	wTXop	4
103	_Cloverbelle_	4
103	Luminad3	4
103	Rasmanden	4
103	audiocracked	4
103	luseis	4
103	Fuad_R	4
103	NameGenerat0r	4
103	Blu3beast	4
103	Leithz6	4
103	Cocoamallows	4
103	Razzgriz	4
103	sheherhers	4
103	SvenskaHugo	4
103	Segotep999	4
103	starbits140	4
103	__tomato	4
103	lcvezra	4
103	Luigipunch989	4
103	ProbsNotNova	4
103	EngagedGrub41	4
103	skrongus	4
103	Zoeyfortnite	4
103	WYFYoyo	4
138	H0UNDFRMH3LL	3
138	k_ce	3
138	Cowison	3
138	I_Am_Mushkin	3
138	Ryan_GEMS	3
138	ColeSnyder	3
138	Flores991	3
138	Horizons86	3
138	KomputerDude	3
138	gaziter10	3
138	Michaelelelelele	3
138	ItsHydroMC	3
138	bloodbiter	3
138	12Magner05	3
138	corvidpartyfor6	3
138	500am	3
138	slkiey	3
138	Scathra	3
138	gcaisawesome	3
138	XboxPanda	3
138	xambsam	3
138	Rumpletaezer	3
138	popcanter	3
138	Snowflowe	3
138	burbankbuilder28	3
138	DaviusMaximoose	3
138	Hiryu27	3
138	The11thDoctor	3
138	Kouridragon	3
138	F_Uhre	3
138	Matyyy15	3
138	HoldThatPee	3
138	Leyna3	3
138	IamCL4SSY	3
138	gustarlep	3
138	_Bguette_	3
138	wobn	3
138	Tiktola01	3
138	Karbl	3
138	majlin16	3
138	Xclax101	3
138	GravitySaint	3
138	RedcatVII	3
138	silverpopcorn	3
138	Toriankel	3
138	Druid95	3
138	geekbird	3
138	NiveauSubmarine	3
138	_Mythic____	3
138	brofrickcheaters	3
138	Spenduh	3
138	non089	3
138	_i_ERROR_i_	3
138	Moetis	3
138	CalebDHawk	3
138	RadarHz	3
138	Smaldo	3
138	Enderxz3	3
138	UrbanPlanningEx	3
197	Lepthymo	2
197	heysushii	2
197	RoskobiOne	2
197	Ze1ig	2
197	Merv__	2
197	Nekowu	2
197	Slinkyy7071	2
197	Bad_At_Names_Guy	2
197	_Razaria	2
197	tuckerdoodle	2
197	Caystelly	2
197	Alteriity	2
197	Huwulling	2
197	H72l9w	2
197	dopplexd	2
197	Notta	2
197	Cryptacity	2
197	ProfessorBee	2
197	SoftSix	2
197	eclipseboi	2
197	TheDiamondCG	2
197	redikul	2
197	MindyDooWho	2
197	Masssonnn	2
197	IforgotCS_Source	2
197	himak1	2
197	KGTV	2
197	Inchef	2
197	ROY4LE	2
197	xxPipperDipperxx	2
197	Diavri	2
197	eiC_	2
197	Kubelz	2
197	platinumzero	2
197	M_Patata	2
197	Ecplosive	2
197	xFaiithyX	2
197	WET_WET_WET	2
197	0Vyp_	2
197	ItsMrRamen	2
197	LilyNova	2
197	Muffindrake	2
197	iElijah	2
197	MinerDec	2
197	epiksk8erduck	2
197	Vetral1	2
197	Ender_Souls	2
197	Y_A_N_N_I	2
197	Maenara	2
197	TheTrueClipse	2
197	Wowful	2
197	ogoa	2
197	bpmm	2
197	spencersolberg	2
197	l_James_	2
197	Fuhrer_Teemo	2
197	Meatlaugh	2
197	JESS_THE_RERE	2
197	KermitTheKripple	2
197	Dakar_	2
197	DarlaMeow	2
197	Soap_Bender	2
197	_Karmaa	2
197	Shogunite	2
197	Deerfoot	2
197	OreoPenguin_	2
197	El_Jalapeno	2
197	Cyntrical	2
197	marumochis	2
197	OffWithTheirHead	2
197	Vegvisir	2
197	_Meow_Mix	2
197	Factoroni	2
197	Ze_BaronKrigler	2
197	okzetton	2
197	layabout100	2
197	Kura2218	2
197	Majonezzon	2
197	LordSpeed37	2
197	Decaying_Lotus	2
197	07shiny	2
197	hdtpm	2
197	pixelviolin	2
197	Chuglyfe	2
197	stellarjay	2
197	UltraZombie	2
197	LeeMcGee30	2
197	Njensen7	2
197	Steelynan	2
197	Vellu21	2
197	TheOnlyRake	2
197	_KuruKuru	2
197	BreadBacon	2
197	MirielThePastor	2
197	JustinRee	2
197	TheRealHi	2
197	MandenR1	2
197	NoobyandApple	2
197	h2p_emrld	2
197	561cool	2
297	Mr_Worthless	1
297	jojo1515151	1
297	xExpresso	1
297	marguang	1
