rank	username	minecraft:dropped/minecraft:written_book
1	beeperbeeper5	2087
2	Lez_	879
3	Spacewardharpy7	613
4	Tyrannosplart	193
5	kekhon	189
6	SteveCraftBlocks	159
7	Akoot_	151
8	Soplight	149
9	lordpipe	124
10	Groovy_MoonBird	113
11	TechnoNinja64	112
12	Bumpy419	111
13	Kowcio_	106
14	r123moore	91
14	Xclax101	91
16	pintsizedrogue	86
17	FreakGenius	75
18	Legendosh	72
19	Incinere	71
20	Snowflowe	66
20	AdmiralSmoke	66
22	luseis	65
23	MattieHD	62
24	joethahobo	61
25	Arceus1975	51
26	Mahoose	49
27	EveryonesUncle	48
28	FirsTimeGamingTV	47
29	Hyp3rion_	45
30	Huwulling	44
30	oscminus	44
30	claivin	44
33	SammiWolfGirl	41
34	Blackberry1310	40
35	Ezekson	39
36	Smashic	35
36	ConnorDanky_	35
38	TheSecondLord	29
38	luckykill123	29
40	EcksD	26
41	eitanzaki	25
42	T045RTY	23
42	YungMaki	23
44	500am	21
44	CrateOfBoxes	21
46	Frozil20	20
47	Ryan_GEMS	19
47	noam464	19
47	skrongus	19
50	lorpus	18
50	fw3xy74	18
52	El_Jalapeno	17
52	cringenaynaybaby	17
52	MineMaster0012	17
55	Jackattack53	16
55	Blaiku	16
57	Awyrlas	15
57	_Boipl_	15
57	Lord_Jord	15
57	Blu3beast	15
57	fluddd	15
62	Merv__	14
63	Mr_Byzantine	13
63	xxPipperDipperxx	13
63	Manaateee	13
63	Eraxa	13
67	ECstardust	12
67	q_wq	12
67	EMC_	12
67	rarrq	12
67	Di_infiri	12
67	AssFullaCum	12
73	chipklip	11
73	ImpavidArcher	11
73	Quaintster	11
73	Racengan	11
73	PortlyPete69	11
78	ShedJr_	10
78	_Dean_123	10
78	Krowuss	10
78	sammidk	10
78	shrimp_flips	10
78	Segotep999	10
78	PlasticOtari	10
85	I_Am_Mushkin	9
85	hanaryheatwave	9
85	LeonelSalamanca	9
85	UrbanPlanningEx	9
89	xfemboyx	8
89	thewindmillman	8
89	Werbe	8
89	SaintJosie	8
89	DarlaMeow	8
89	WyngGoy	8
89	_Mythic____	8
89	alderban107	8
89	Jimb0nat0r	8
89	00000000-0000-0000-0009-01f358e1a055	8
99	YairZaki	7
99	himak1	7
99	Inchef	7
99	Marbz_	7
99	Felenov	7
99	censorsheep	7
99	UCP_TheKingK	7
99	lcvezra	7
99	Steelynan	7
108	PazinGaming	6
108	6king6colt6	6
108	bigstankyy	6
108	jessewegottacook	6
108	_Nuf	6
108	prizm_	6
108	AlexxO_o	6
108	Wowful	6
108	NameGenerat0r	6
108	StinkyDiplomat	6
108	KingMatthew506	6
108	Hermanni__	6
120	Deu_Stew	5
120	PhantomsGhost_	5
120	Creativebuilder2	5
120	MrKrabOnCoke	5
120	bloodbiter	5
120	Chromary	5
120	Rumpletaezer	5
120	The_Cruncy	5
120	F_Uhre	5
120	HellsSponge	5
120	weabis	5
120	MovingFish7	5
120	MakeHistory157	5
120	sadvavilloso	5
120	SvenskaHugo	5
120	Nicserso	5
120	Enderxz3	5
137	H0UNDFRMH3LL	4
137	Bandito_Roamer	4
137	_Huge_Male_	4
137	dabloons	4
137	Meteora4	4
137	Alteriity	4
137	ROY4LE	4
137	2Stout	4
137	olliebollie48	4
137	Konstruktix	4
137	Hiryu27	4
137	ApophisNova	4
137	LilLizardWizard	4
137	Rasmanden	4
137	groofles	4
137	Maenara	4
137	NomadicRobin_	4
137	TruestTurnip	4
137	3_Solar_3	4
137	Vegvisir	4
137	Spenduh	4
137	xzvu	4
137	Heisenbberrg	4
137	CalebDHawk	4
137	youarefrench_	4
137	cichy096	4
137	CattSoup	4
137	MyNamaSheff	4
137	jnp_gaming	4
137	xolstoi	4
167	k_ce	3
167	teslawolf38	3
167	Lukeee33	3
167	Bad_At_Names_Guy	3
167	Swexti	3
167	ChampPog_	3
167	jushykins	3
