rank	username	minecraft:dropped/minecraft:player_head
1	kekhon	137
2	Spacewardharpy7	73
3	Akoot_	47
4	lordpipe	30
5	Blackberry1310	27
6	Mahoose	26
7	joethahobo	19
8	beeperbeeper5	15
9	rarrq	13
10	oxfordschool	11
11	eitanzaki	10
11	Chromary	10
11	Hyp3rion_	10
11	Jiminie	10
11	Eraxa	10
16	noam464	9
16	Werbe	9
18	LoboTheLobster	7
18	PlasticOtari	7
20	pintsizedrogue	6
20	ImpavidArcher	6
20	Di_infiri	6
20	Frozil12	6
24	Awyrlas	5
24	Blaiku	5
24	Soplight	5
24	SammiWolfGirl	5
28	claivin	4
28	Smoke____	4
30	T045RTY	3
30	EcksD	3
30	jnp_gaming	3
33	TheSecondLord	2
33	m_be9	2
33	Jackattack53	2
33	Arceus1975	2
33	PigDab	2
33	TheTrueClipse	2
33	Enderslayerxz3	2
33	Legendosh	2
33	EcksDofficial	2
42	JohnnyFyes	1
42	Incinere	1
42	ABUSNA1996	1
42	Smashic	1
42	thescout7	1
42	himak1	1
42	Inchef	1
42	r123moore	1
42	thewindmillman	1
42	Bongo_Drums_	1
42	Loraxonlyfans	1
42	RodSerlingCringe	1
42	NomadicRobin_	1
42	lillips	1
42	DarlaMeow	1
42	Fuad_R	1
42	NameGenerat0r	1
42	Stylessz	1
42	PortlyPete69	1
42	ProbsNotNova	1
42	MeetTheWollo	1
