rank	username	minecraft:dropped/minecraft:flint_and_steel
1	eitanzaki	129
2	noam464	108
3	lordpipe	89
4	kekhon	69
5	Werbe	45
5	AssEatrAndLicker	45
5	EcksD	45
8	Spacewardharpy7	40
9	__Auspicious	36
10	Freak_Genius	31
11	Blu3beast	24
12	PigDab	22
13	HellsSponge	19
14	stahouo	18
15	Zoeyfortnite	16
16	Blackberry1310	15
17	Di_infiri	14
17	Blaiku	14
19	Groovy_MoonBird	13
19	rarrq	13
21	beeperbeeper5	12
22	Akoot_	11
23	thewindmillman	10
23	Bumpy419	10
23	chipklip	10
23	Frozil12	10
27	Fullut	9
27	_Karmaa	9
27	Racengan	9
27	PortlyPete69	9
31	mwrty	8
31	EveryonesUncle	8
31	Xclax101	8
31	Smoke____	8
35	ImpavidArcher	7
35	Hyp3rion_	7
35	TechnoNinja64	7
38	TheBiggestFeller	6
38	T045RTY	6
38	SullyhS	6
38	Kyrum2169	6
38	Soplight	6
38	Spenduh	6
38	MilleGrug	6
45	_Virify_	5
45	bloodbiter	5
45	thescout7	5
45	loveseeker	5
45	Eraxa	5
45	jnp_gaming	5
51	PhantomsGhost_	4
51	KarlKaek	4
51	Dedalus36	4
51	Natofthese	4
51	Mahoose	4
51	ROY4LE	4
51	Arceus1975	4
51	fkGrim	4
51	Kowcio_	4
51	sebastiensaborio	4
51	Nargotah	4
51	AltnumberF4	4
51	PlasticOtari	4
51	FishisTTV	4
65	pintsizedrogue	3
65	Ilinca_Io	3
65	SaucyDark	3
65	hm947	3
65	Prodiginus	3
65	Malorn_Aetherius	3
65	TheSecondLord	3
65	_Nuf	3
65	Awyrlas	3
65	himak1	3
65	CollinMH06	3
65	Chromary	3
65	Zythose	3
65	TheShyPig	3
65	HoldThatPee	3
65	KliBeast21	3
65	Quaintster	3
65	fluddd	3
65	LordSpeed37	3
65	stavgod	3
65	djancak	3
65	lcvezra	3
65	Kubeusz2010	3
65	laron58	3
65	Ezekson	3
65	Quotary	3
65	RadarHz	3
65	vandmanden	3
65	Sral7	3
65	kinas45y5	3
65	EcksDofficial	3
65	WYFYoyo	3
97	Drlzyy	2
