rank	username	minecraft:dropped/minecraft:cooked_cod
1	Ezekson	2625249
2	HellsSponge	90921
3	joethahobo	18064
4	thewindmillman	17562
5	lordpipe	16012
6	Frozil20	9172
7	MyNameIsJobo	9048
8	Hyp3rion_	8485
9	12Magner05	8300
10	kekhon	7257
11	AmbroseForLife	6417
12	ImpavidArcher	4010
13	eitanzaki	3998
14	Paintz	3264
15	Blackberry1310	3139
16	lcvezra	3011
17	rarrq	2539
18	Akoot_	2325
19	Blaiku	2222
20	ECstardust	2207
21	beeperbeeper5	1667
22	ConnorDanky_	1649
23	Thrasaere	1536
24	xxPipperDipperxx	1361
25	Shogunite	1317
26	cichy096	1291
27	NomadicRobin_	1284
28	lillips	1239
29	m_be9	1225
30	Bumpy419	1208
31	T045RTY	1206
32	_Virify_	1180
33	CliffEmAll	1129
34	AdmiralSmoke	1061
35	Pearlplatinum	1024
36	SoosAmongus	964
37	shadowthemonkey	938
38	Snowflowe	925
39	Mahoose	901
40	EMC_	892
40	skrongus	892
42	R1CHY2K	829
43	lunathelemon	806
44	Factoroni	731
45	xolstoi	700
46	Wowful	669
47	JohnnyFyes	655
48	SammiWolfGirl	637
49	MightyWertu	593
50	Destroyer112221	573
51	jcool7	523
52	ProbablyNick	512
52	gcaisawesome	512
54	Iamthejo	511
55	XboxPanda	500
56	thescout7	453
57	HazyDrummer	448
58	Spacewardharpy7	392
59	_TCARREIRA_	387
60	UCP_TheKingK	386
61	Aiko_Kawashima	384
62	Blu3beast	370
63	EcksD	367
64	_Huge_Male_	364
64	El_Jalapeno	364
66	SingedBread	354
67	Kura2218	352
68	Bandito_Roamer	348
69	fluddd	339
70	audiocracked	320
71	Mr_Gulle	317
72	zxcv643	314
73	Arceus1975	312
74	Jackattack53	302
74	Segotep999	302
76	luseis	301
77	EveryonesUncle	298
78	PortlyPete69	290
79	FreakGenius	285
80	Kowcio_	273
81	Masssonnn	263
82	Bn_bytes	255
83	DarlaMeow	246
84	soundad	244
85	Spenduh	230
86	Fullut	225
86	Racengan	225
88	Chromary	222
89	Eraxa	221
90	Skippeh	212
91	Groundler	211
92	xzvu	208
93	Bongo_Drums_	205
94	noam464	204
95	fanofbands101	202
96	GreedyFern8581	196
96	Jimb0nat0r	196
98	The_slideV3	195
99	zToasty69z	192
99	izzybearh	192
101	4774	190
102	MitexFTW	189
103	Whiterooster001	187
104	Groovy_MoonBird	186
105	pintsizedrogue	185
106	LAVA129	183
107	TechnoNinja64	179
108	rejenita	176
109	Lez_	171
110	TheEnderMan548	169
111	Steelynan	165
112	Fuzai	163
113	Smiguli_	160
113	Vector1209	160
115	sadvavilloso	159
116	Incinere	158
117	DirtyDalle	154
117	Smashic	154
119	MattieHD	146
120	TheShyPig	141
121	Nicserso	139
122	I_Am_Mushkin	138
123	ssleepless	137
123	Airem_Core	137
123	ayamefag	137
126	LordSpeed37	136
127	Manaateee	134
128	wTXop	132
129	KliBeast21	129
130	Sleek_Storm_721	128
130	ketaminmann	128
130	Skylord_Luke	128
130	Hail_the_wombat	128
130	Beagle_Boy	128
130	Winston_Ingram	128
130	GigiDuru	128
137	PazinGaming	127
138	Louiis123	126
138	aRandom_	126
140	BlackThomFan	125
141	G1ldor	124
141	UltraZombie	124
143	Citrxy	123
144	SlothInASuit	119
144	SunsetwolfGG	119
146	GravitySaint	118
147	gren_ben	113
148	Historical_Sand	112
148	oscminus	112
148	claivin	112
151	set67	111
151	laron58	111
153	Rasaq	110
154	Kubeusz2010	109
155	andy_rex	105
155	Cyntrical	105
157	Lord_Jord	104
158	burbankbuilder28	97
158	AlexxO_o	97
160	ROY4LE	96
160	JMK208	96
160	FWUACKMEE	96
163	DemTechAlpha	95
163	Soplight	95
165	NinjaKnifeKill	94
165	TheSeismicDuck	94
167	Nycteus_	93
167	RedcatVII	93
169	bloodbiter	92
170	hm947	91
171	Tyrannosplart	90
172	iElijah	89
172	738b4f65-6cbd-4ead-ba31-c14211abfb06	89
174	Yahir091	85
174	__tomato	85
176	LazySupport00	84
176	Njensen7	84
178	PhantomsGhost_	83
