rank	username	minecraft:dropped/minecraft:mossy_cobblestone
1	seramalen	676
2	kekhon	392
3	Euclidoris	256
4	TechnoNinja64	241
5	gcaisawesome	180
6	EMC_	140
7	500am	132
8	The_Quack_Dealer	120
9	Nycteus_	119
10	Freak_Genius	105
11	Eraxa	84
12	Uzbeki_John	72
13	thewindmillman	70
14	Akoot_	64
15	Blu3beast	54
16	Racengan	53
17	HesDemonPants	48
18	Ecplosive	47
18	El_Jalapeno	47
20	emrekn	46
21	monky_irl	42
22	Quaintster	39
23	NinjaKnifeKill	37
24	_Bguette_	34
24	EcksD	34
26	noam464	29
27	Spacewardharpy7	26
27	Fizznut909	26
29	TheSecondLord	25
29	Werbe	25
29	AssEatrAndLicker	25
32	lcvezra	24
33	Sabby65	22
34	pixelviolin	21
35	Di_infiri	19
35	PigDab	19
35	Sky_light_KING	19
38	eitanzaki	18
39	mwrty	16
40	lordpipe	14
41	Arceus1975	13
41	YungMaki	13
43	Jovaphobic	12
43	Jackattack53	12
43	_8man	12
43	impossibleteapot	12
47	Guillemet	11
47	Hyp3rion_	11
47	chipklip	11
50	Blackberry1310	10
50	Xclax101	10
50	diggydog67	10
53	joethahobo	9
53	Lord_Zacler	9
53	HellsSponge	9
53	Blaiku	9
57	Swalt	8
57	Chickenchaser2	8
57	__Fanda__	8
57	The11thDoctor	8
61	rarrq	7
61	Rumpletaezer	7
61	AnnieBathory	7
61	MonitorLizards	7
65	diamondgolem35	6
65	livingdaydreams	6
65	beeperbeeper5	6
65	FirsTimeGamingTV	6
65	Scathra	6
65	fred870d	6
65	Lord_Jord	6
65	Frozil12	6
65	FishisTTV	6
74	T045RTY	5
74	CoffeeNoir	5
74	SquadMonster	5
74	12Magner05	5
74	_Nuf	5
74	ayqq	5
74	loveseeker	5
74	SIRdrumroll	5
74	Meatlaugh	5
74	ElKaySVK	5
84	pintsizedrogue	4
84	bloodbiter	4
84	AngalexikCZ	4
84	SpicyMeatballs	4
84	Zaridey	4
84	WET_WET_WET	4
84	Donutt	4
84	Dan_Scha	4
84	Spenduh	4
84	Powowowow	4
94	Bandito_Roamer	3
94	Iagoku	3
94	surfinggiraffejp	3
94	ROY4LE	3
94	M_Patata	3
94	Bumpy419	3
94	sxc_	3
94	Nicky19	3
94	MasterNueve	3
94	Luigipunch989	3
94	GlitchyPlate810	3
94	Xi_J1nping	3
94	Legendosh	3
94	kinas45y5	3
108	Louiis123	2
108	Groovy_MoonBird	2
108	SaucyDark	2
108	Natofthese	2
108	MOSS000	2
108	picardred	2
108	MattieHD	2
108	purpolepickle	2
108	Kakolbus	2
108	burbankbuilder28	2
108	Skylord_Luke	2
108	HyperCave	2
108	FishyBoy3811	2
108	TheTrueClipse	2
108	claivin	2
108	fluddd	2
108	MightyWertu	2
108	WyngGoy	2
108	PortlyPete69	2
108	Dogcorn69420	2
108	mawileite	2
108	Skippeh	2
108	cichy096	2
108	imaginek1d	2
108	jnp_gaming	2
108	UrbanPlanner1978	2
108	Sral7	2
108	Smoke____	2
108	h2p_emrld	2
137	KarlKaek	1
137	BlancoFlaco	1
137	Sna_Ke	1
137	PhantomBionic	1
137	Historical_Sand	1
137	dopplexd	1
137	set67	1
137	Inchef	1
137	Mewar	1
137	eviltunix	1
137	Xalithia	1
137	NotKaden_	1
137	BlueZabu	1
137	Onennon	1
137	BRRRN179	1
137	OtariCharlie	1
137	XeroByMyth	1
137	Kim_Jong_eel	1
137	RodSerlingCringe	1
137	Klerick	1
137	wezzzi	1
137	fkGrim	1
137	MyNameIsDakar	1
137	MAns_44	1
137	_k2x	1
137	layabout100	1
137	Nagasaki_Riku	1
137	Decaying_Lotus	1
137	IdeallyGrey	1
137	Chuglyfe	1
137	_TCARREIRA_	1
137	ProbsNotNova	1
137	Depressi0n_	1
137	VentiHilton	1
137	oxfordschool	1
137	FallenCorps	1
137	trexgb	1
