rank	username	minecraft:dropped/minecraft:cocoa_beans
1	thewindmillman	183894
2	noam464	19293
3	_Dean_123	2474
4	Blaiku	935
5	EveryonesUncle	917
6	TechnoNinja64	744
7	ConnorDanky_	691
8	Nicserso	602
9	Lez_	579
10	thescout7	551
11	kekhon	504
12	Merv__	448
13	pintsizedrogue	439
14	Akoot_	428
15	calamariclam_I	391
16	beeperbeeper5	390
17	Hyp3rion_	307
18	Kowcio_	254
19	StarCookiees_	237
20	KingMatthew506	222
21	Yamdalorian	208
22	ChillenChiggen	200
23	Jackattack53	192
24	NATE_the_HALO	176
25	HolyVenom	165
26	Ezekson	155
27	hanaryheatwave	150
28	Mahoose	141
29	Groundler	132
30	jnp_gaming	131
31	Huwulling	129
32	Mr_Byzantine	128
32	Onennon	128
34	luseis	126
35	PazinGaming	109
36	Winklepicker279	108
37	Xclax101	89
38	Incinere	83
39	jushykins	76
39	annebolyn	76
41	mwrty	74
42	Xalithia	72
42	lordpipe	72
44	bloodbiter	67
45	Blu3beast	66
46	ese_wn_po	65
47	Alteriity	64
47	500am	64
47	F_Uhre	64
47	emreknugrlu	64
51	Bandito_Roamer	63
51	YungMaki	63
53	TheSecondLord	61
53	SammiWolfGirl	61
55	T045RTY	59
56	eitanzaki	58
56	Werbe	58
58	Cryptacity	56
59	Arceus1975	54
59	Zythose	54
61	Malware_Mara	49
62	SvenskaHugo	48
63	NomadicRobin_	43
64	titanlax	42
65	FreakGenius	41
66	BronkerBrum	39
67	Nach0Bear	38
67	MovingFish7	38
69	Blackberry1310	37
69	cichy096	37
71	xxPipperDipperxx	34
72	CoffeeNoir	32
72	Fullut	32
74	AlexxO_o	28
74	djancak	28
76	KingEgg1	24
76	AssassinAshton	24
78	Quaintster	23
79	peachfuzz1267	21
79	PortlyPete69	21
81	lorpus	20
81	RefluxRatio	20
81	wTXop	20
81	pretty_pink_reno	20
85	12Magner05	19
85	Enderxz3	19
87	HELLO_I_AM_BEAR	18
87	blackeemperor	18
89	BlancoFlaco	16
89	Hiryu27	16
91	CLG_Kata	15
91	joethahobo	15
93	Shortest_Man	14
93	Eraxa	14
95	PlasticOtari	13
96	Leksanda	12
96	Secret_Canary	12
96	Touched_Bread	12
96	Chromary	12
96	Hahaa_0	12
96	miramyu	12
102	_Nuf	11
102	fade_emerge78823	11
102	Kukkelikuk	11
102	AltnumberF4	11
106	Fuad_R	10
106	El_Jalapeno	10
108	ECstardust	9
108	_Nat666	9
108	PeteO1995	9
108	WET_WET_WET	9
108	WhyTho_1	9
108	Yahir091	9
108	yatsuta	9
115	lorywithay	8
115	Manaateee	8
117	PigDab	7
117	EdGalbraith	7
117	Deerfoot	7
117	MAns_44	7
117	IdeallyGrey	7
122	heckface	6
122	Saucepeh	6
122	Krowuss	6
122	Azmodan_246	6
122	Spacewardharpy7	6
122	Kferno	6
122	tompup	6
129	SteveCraftBlocks	5
129	Marbz_	5
129	Di_infiri	5
129	sp00ky_ghost977	5
133	ZaneABrain	4
133	301851	4
133	HellsSponge	4
133	Kura2218	4
137	_Virify_	3
137	DinoDoctor_	3
137	Da_Boss_Rani	3
137	Shazzyling	3
137	Jakobo1337	3
137	Kamflame	3
137	JETrotter	3
137	iElijah	3
137	yulgur1	3
137	SwooshBoi	3
137	SSytex_X	3
137	Spenduh	3
137	RadarHz	3
150	SirPiccardo	2
150	SvenskaSara	2
150	Karbl	2
150	NameGenerat0r	2
150	StinkyDiplomat	2
150	3_Solar_3	2
150	Cocoamallows	2
150	ayamefag	2
150	Segotep999	2
150	Iamthejo	2
160	ratglock	1
160	BobDeBouwer1337	1
160	Skylord_Luke	1
160	StormPool	1
160	GravitySaint	1
160	Chaotic1s	1
160	ElectricDragon81	1
160	_Mythic____	1
160	_i_ERROR_i_	1
160	EcksD	1
160	Sral7	1
