rank	username	minecraft:dropped/minecraft:lime_concrete
1	Jackattack53	1728
2	thewindmillman	1321
3	beeperbeeper5	82
4	Blaiku	70
5	PigDab	54
6	lordpipe	38
6	SammiWolfGirl	38
8	Soplight	37
8	jnp_gaming	37
10	oreee	25
11	Lez_	19
12	Blackberry1310	16
13	noam464	14
14	rarrq	13
14	Akoot_	13
16	EcksD	11
17	laron58	9
18	eitanzaki	8
19	Di_infiri	7
19	SonicRainBow_	7
21	__Fanda__	6
21	aubergined	6
23	OverallConcept	5
24	Mahoose	4
24	jushykins	4
24	CalebDHawk	4
27	ProbablyNick	3
27	Frozil20	3
27	gloryoftherain	3
27	stavgod	3
31	Mr_Byzantine	2
31	Inbefour	2
31	Eraxa	2
34	Merv__	1
34	kekhon	1
34	_Dean_123	1
34	Fullut	1
34	bbquakes	1
34	Werbe	1
34	Mattesco	1
34	MakeHistory157	1
34	Razzgriz	1
34	TechnoNinja64	1
34	skrongus	1
