rank	username	minecraft:dropped/minecraft:tide_armor_trim_smithing_template
1	myaccountwasgone	8
2	robonya_	4
2	TheWickedBird	4
4	crashomon	3
5	Secret_Canary	1
5	bl1ss0	1
