rank	username	minecraft:dropped/minecraft:pearlescent_froglight
1	Hyp3rion_	7373
2	thewindmillman	5839
3	mihimihimihi	283
4	Jackattack53	86
5	AlexxO_o	65
6	iHuntWeeaboos	42
7	Lez_	8
8	Marbz_	4
9	Mahoose	2
10	Enderslayerxz3	1
