rank	username	minecraft:dropped/minecraft:acacia_pressure_plate
1	500am	108
2	Meatlaugh	5
2	Yamdalorian	5
4	Mr_Sun15	2
4	FreakGenius	2
6	Apollo_993	1
6	KarlKaek	1
6	eitanzaki	1
6	noam464	1
6	mariominejedi	1
6	Hyp3rion_	1
6	HellsSponge	1
6	Mikael_Kuningas	1
