rank	username	minecraft:dropped/minecraft:green_shulker_box
1	thewindmillman	3278
2	Hyp3rion_	62
3	Jackattack53	12
4	luseis	9
5	eitanzaki	8
5	noam464	8
7	pintsizedrogue	7
8	joethahobo	6
8	TechnoNinja64	6
10	Mahoose	5
10	k1ngGilgamesh	5
10	Ezekson	5
13	teslawolf38	4
13	Mattesco	4
13	HellsSponge	4
13	MakeHistory157	4
13	ConnorDanky_	4
13	Jimb0nat0r	4
13	PlasticOtari	4
20	seanitoo	3
20	Lez_	3
20	kekhon	3
20	Awyrlas	3
20	Inchef	3
20	gcaisawesome	3
20	TheShyPig	3
20	wezzzi	3
20	yulgur1	3
20	skrongus	3
20	Zoeyfortnite	3
31	XboxPanda	2
31	fr_ser	2
31	lillips	2
31	DemTechAlpha	2
31	DarlaMeow	2
31	YungMaki	2
31	Spenduh	2
31	xzvu	2
31	KingMatthew506	2
31	alderban107	2
41	JohnnyFyes	1
41	CLG_Kata	1
41	PhantomsGhost_	1
41	Merv__	1
41	SaucyDark	1
41	ZaneABrain	1
41	beeperbeeper5	1
41	TheSecondLord	1
41	Smashic	1
41	xxPipperDipperxx	1
41	Di_infiri	1
41	Chromary	1
41	Arceus1975	1
41	Hoid_the_Roamer	1
41	Werbe	1
41	F_Uhre	1
41	Lord_Jord	1
41	MinuteMira	1
41	Tyrannosplart	1
41	Manaateee	1
41	rezi	1
41	the__Reaper4999	1
41	Racengan	1
41	Hisiste	1
41	lordpipe	1
41	WyngGoy	1
41	sadvavilloso	1
41	pixelviolin	1
41	UCP_TheKingK	1
41	Segotep999	1
41	lcvezra	1
41	Njensen7	1
41	Steelynan	1
41	jnp_gaming	1
41	camando92	1
41	AdmiralSmoke	1
41	h2p_emrld	1
