rank	username	minecraft:dropped/minecraft:cornflower
1	thewindmillman	175649
2	noam464	54336
3	YungMaki	1381
4	HellsSponge	603
5	Hyp3rion_	355
6	oxfordschool	321
7	Blaiku	282
8	Di_infiri	246
9	beeperbeeper5	129
10	lordpipe	112
11	Freak_Genius	104
12	Kakolbus	72
13	gcaisawesome	71
14	kekhon	64
15	eitanzaki	61
15	NomadicRobin_	61
15	TechnoNinja64	61
18	YoshikageBites	58
19	Frozil12	49
20	Skylord_Luke	47
21	HesDemonPants	43
22	Racengan	37
23	Kowcio_	31
24	lcvezra	30
25	Arceus1975	29
26	PigDab	21
26	KingMatthew506	21
28	Akoot_	18
28	__tomato	18
30	joethahobo	17
30	Lord_Jord	17
30	Spacewardharpy7	17
33	Blackberry1310	16
34	himak1	14
34	Hisiste	14
36	Dedalus36	12
36	emrekn	12
36	vampgey	12
36	SkateboardR6	12
40	Notta	11
40	Jackattack53	11
42	Mowelan	10
42	CompAir	10
42	SaucyDark	10
42	__TheNorseMan__	10
42	fred870d	10
42	Smoke____	10
48	EMC_	9
48	ProfessorBee	9
48	Inchef	9
48	Winklepicker279	9
48	Marbz_	9
48	jewbacaman	9
48	MousePlays	9
48	Kyrum2169	9
48	anbbang	9
57	TuesdayEpisode	8
57	kars0n	8
57	EveryonesUncle	8
57	MyNameIsDakar	8
57	MAns_44	8
57	stahouo	8
63	Jovaphobic	7
63	pintsizedrogue	7
63	seanitoo	7
63	Natofthese	7
63	Mahoose	7
63	PeteO1995	7
63	yulgur1	7
70	Wooptey	6
70	lotarp	6
70	Frxnkz	6
73	Ssor69	5
73	TheFlfthHorseman	5
73	m_be9	5
73	Fullut	5
73	Werbe	5
73	_naturell	5
73	FishyBoy3811	5
73	Gryglu583	5
73	djancak	5
73	PortlyPete69	5
83	Hyugo	4
83	phomic	4
83	Chromary	4
83	Ze_BaronKrigler	4
83	cichy096	4
83	PlasticOtari	4
89	Groovy_MoonBird	3
89	PhantomsGhost_	3
89	TildaAndrea	3
89	KarlKaek	3
89	ImpavidArcher	3
89	_R_y__a_n_	3
89	ROY4LE	3
89	masskedman	3
89	Shogunite	3
89	Blu3beast	3
89	SammiWolfGirl	3
89	Kubeusz2010	3
89	Nicserso	3
89	Sral7	3
103	_NieToksikpl_	2
103	Sleek_Storm_721	2
103	I_Am_Mushkin	2
103	Furiuosbeast0404	2
103	oreee	2
103	rarrq	2
103	TheSecondLord	2
103	12Magner05	2
103	set67	2
103	JoshCranlet	2
103	Typkazprahe	2
103	SlayerCrypto	2
103	BRRRN179	2
103	Jiminbub	2
103	_Karmaa	2
103	MustaLoordi	2
103	Nycteus_	2
103	Yahir091	2
103	MovingFish7	2
103	ElKaySVK	2
103	TheEnderman548	2
103	sadvavilloso	2
103	Luigipunch989	2
103	Kamiento	2
103	jcool7	2
103	alderban107	2
103	AstroLightz_	2
103	Legendosh	2
103	kinas45y5	2
132	Louiis123	1
132	angwla	1
132	fanofbands101	1
132	Tommhh	1
132	6king6colt6	1
132	BlancoFlaco	1
132	Incinere	1
132	RebelAndroid	1
132	T045RTY	1
132	Natty	1
132	ShedJr_	1
132	TheMaster972	1
132	Unitas_isa	1
132	Ozixar	1
132	bloodbiter	1
132	TheThomas69	1
132	redikul	1
132	Z3braYTIL	1
132	sandmire	1
132	UncreativeArtist	1
132	Nach0Bear	1
132	thescout7	1
132	KrazedAssassin	1
132	SharpDev	1
132	hcb238	1
132	breadbowlgamer	1
132	FetteMutter	1
132	SuperPooch06	1
132	Rebytre	1
132	Roosje69	1
132	Onennon	1
132	TheShyPig	1
132	KeruNatsema	1
132	Hail_the_wombat	1
132	KliBeast21	1
132	Maenara	1
132	TheTrueClipse	1
132	XxCookiequeenxX	1
132	fkGrim	1
132	chipklip	1
132	Bismarck_KMS	1
132	The_slideV3	1
132	censorsheep	1
132	Xclax101	1
132	Aftrbrnr	1
132	__Auspicious	1
132	Fildyr	1
132	Warlord324	1
132	Leithz6	1
132	sp00ky_ghost977	1
132	Eraxa	1
132	Decaying_Lotus	1
132	Shin69	1
132	IdeallyGrey	1
132	ReyTheLegend	1
132	AssFullaCum	1
132	_TCARREIRA_	1
132	Poppy235	1
132	Deguns123	1
132	Dogcorn69420	1
132	gnyW	1
132	MissCeleste7	1
132	RoboTramp7865	1
132	imaginek1d	1
132	jnp_gaming	1
132	vandmanden	1
132	EcksDofficial	1
132	Calbo_	1
132	diggydog67	1
