rank	username	minecraft:dropped/minecraft:chainmail_helmet
1	joethahobo	27
2	THEKINGLyric10	21
3	Bonzaidalek	16
4	StinkyDiplomat	11
5	Ryker	10
6	thewindmillman	9
7	SmashingPump	8
7	WeebleSock	8
7	Segotep999	8
10	Merv__	7
10	beeperbeeper5	7
10	mariominejedi	7
10	Werbe	7
14	Jackattack53	6
14	F_Uhre	6
14	AdmiralSmoke	6
17	pintsizedrogue	5
17	RebelAndroid	5
17	Historical_Sand	5
17	mwrty	5
17	Di_infiri	5
17	EveryonesUncle	5
23	Apollo_993	4
23	Blackberry1310	4
23	500am	4
23	Kakolbus	4
23	PigDab	4
23	masskedman	4
23	luseis	4
23	Manaateee	4
23	mihimihimihi	4
23	YungMaki	4
23	djancak	4
34	ECstardust	3
34	I_Am_Mushkin	3
34	SyntheticSurgeon	3
34	jushykins	3
34	Nicky_H225	3
34	Fullut	3
34	set67	3
34	noam464	3
34	Arceus1975	3
34	Hyp3rion_	3
34	Blaiku	3
34	Spacewardharpy7	3
34	lordpipe	3
34	Ezekson	3
48	Jovaphobic	2
48	TheSecondLord	2
48	Chickenchaser2	2
48	excelsionprime	2
48	MustardDrinker	2
48	Muffindrake	2
48	AlexxO_o	2
48	Akoot_	2
48	NomadicRobin_	2
48	_Karmaa	2
48	NameGenerat0r	2
48	Deerfoot	2
48	FreakGenius	2
48	El_Jalapeno	2
48	censorsheep	2
48	Racengan	2
48	wwwwinnebagoooo	2
48	SkateboardR6	2
48	pixelviolin	2
48	Kowcio_	2
48	xzvu	2
48	PortlyPete69	2
48	NATE_the_HALO	2
48	zOnlyKroks	2
48	Nicserso	2
73	Groovy_MoonBird	1
73	MuffinManzz	1
73	PhantomsGhost_	1
73	dudcreeper	1
73	Cowison	1
73	AuroraValkyrie	1
73	q_wq	1
73	BlancoFlaco	1
73	Wooptey	1
73	Jahara	1
73	youhjjhhhjj	1
73	Alteriity	1
73	NinjaKnifeKill	1
73	Mahoose	1
73	ShedJr_	1
73	SquadMonster	1
73	ZigzagLily43042	1
73	xPixelRainx	1
73	Comma__	1
73	m_be9	1
73	12Magner05	1
73	kekhon	1
73	MattieHD	1
73	Secret_Canary	1
73	_Dean_123	1
73	Smashic	1
73	AngalexikCZ	1
73	Kamflame10	1
73	4774	1
73	thescout7	1
73	Awyrlas	1
73	Inchef	1
73	SharpDev	1
73	SellyZ	1
73	Paintz	1
73	platinumzero	1
73	TheDankPlatypus	1
73	M_Patata	1
73	_Gabae	1
73	CollinMH06	1
73	Chromary	1
73	hanaryheatwave	1
73	Snowflowe	1
73	0Vyp_	1
73	ItsMrRamen	1
73	Bumpy419	1
73	Rebytre	1
73	Voxin2K	1
73	epiksk8erduck	1
73	dartwaffle	1
73	PuFY	1
73	Luminad3	1
73	Rasmanden	1
73	TJawesome09	1
73	SaintJosie	1
73	IamCL4SSY	1
73	Lord_Jord	1
73	Deathkob	1
73	the_russell1611	1
73	Quincannon	1
73	AstreaTSS	1
73	Shogunite	1
73	MAns_44	1
73	SwooshBoi	1
73	cog	1
73	MS_Pryxx	1
73	Fildyr	1
73	ProfessorDiaper	1
73	silverpopcorn	1
73	Druid95	1
73	NiveauSubmarine	1
73	Zetsey	1
73	EtherealEspresso	1
73	Luigipunch989	1
73	non089	1
73	obzii	1
73	Dogcorn69420	1
73	Nargotah	1
73	TheALV	1
73	MissCeleste7	1
73	Iamthejo	1
73	smogfrog	1
73	Enderxz3	1
73	HesDemonPants	1
73	2blox_	1
73	vandmanden	1
