rank	username	minecraft:dropped/minecraft:stripped_jungle_log
1	_Virify_	129
2	KingMatthew506	17
3	joethahobo	6
4	BronkerBrum	5
5	Blackberry1310	4
6	noam464	3
6	Corbsman	3
8	dudcreeper	2
8	CoffeeNoir	2
8	500am	2
8	mwrty	2
8	EveryonesUncle	2
8	NameGenerat0r	2
8	MightyWertu	2
8	kinas45y5	2
16	Bandito_Roamer	1
16	123louis456	1
16	BlancoFlaco	1
16	T045RTY	1
16	beeperbeeper5	1
16	kekhon	1
16	SteveCraftBlocks	1
16	_Dean_123	1
16	Uzbeki_John	1
16	Winklepicker279	1
16	CollinMH06	1
16	Marbz_	1
16	Di_infiri	1
16	RefluxRatio	1
16	Onennon	1
16	NomadicRobin_	1
16	Typadopoulos	1
16	Nagasaki_Riku	1
16	Eraxa	1
16	SvenskaHugo	1
16	SammiWolfGirl	1
16	sebastiensaborio	1
16	Enderslayerxz3	1
