rank	username	minecraft:dropped/minecraft:deepslate_tiles
1	thewindmillman	1832
2	Hyp3rion_	1678
3	fade_emerge78823	285
4	Jackattack53	132
5	microcrisp	69
6	00000000-0000-0000-0009-01ff0c3e5e4f	65
7	Moofyman	64
8	hm947	63
9	GlitchyPlate810	61
10	Segotep999	52
11	Smoke____	50
12	fw3xywashere	35
13	tsitrawhy	34
14	SquadMonster	31
14	ZoomieZoomie	31
16	Jeteight	19
16	lordpipe	19
18	Solar_Power	14
19	Inchef	13
20	RebelAndroid	6
20	Weepingbiel	6
22	500am	3
22	AltnumberF4	3
22	kinas45y5	3
25	benediktine1	2
25	Mattesco	2
25	Jimi7hits	2
25	groofles	2
25	PlasticOtari	2
30	itburb	1
30	beeperbeeper5	1
30	TheDankPlatypus	1
30	LeGold	1
30	MAns_44	1
30	Spacewardharpy7	1
30	Meeerkat	1
