rank	username	minecraft:dropped/minecraft:firework_rocket
1	Hyp3rion_	3470668
2	noam464	212450
3	beeperbeeper5	117090
4	Spacewardharpy7	86646
5	_Virify_	62577
6	Jackattack53	41887
7	eitanzaki	17228
8	Kowcio_	15180
9	_Mythic____	14892
10	EcksD	8821
11	Mahoose	8493
12	fffMike	8455
13	joethahobo	8325
14	TechnoNinja64	7820
15	lordpipe	7751
16	diamondgolem35	7375
17	EMC_	6896
18	Racengan	6282
19	Werbe	6112
20	NomadicRobin_	4339
21	Di_infiri	4229
22	rarrq	3893
23	Lez_	3840
24	Alteriity	3680
25	thescout7	3596
26	Yamdalorian	3265
27	500am	3109
28	hanaryheatwave	3008
29	jnp_gaming	2824
30	Jimb0nat0r	2721
31	kekhon	2679
32	Ezekson	2483
33	ConnorDanky_	2185
34	_i_ERROR_i_	2168
35	Huwulling	2136
36	Akoot_	2088
37	Segotep999	1996
38	mwrty	1978
39	KarlKaek	1973
40	Samificator	1926
41	Blackberry1310	1923
42	skitzxo	1897
43	RebytreGT	1828
44	Aryamanee	1803
45	Manaateee	1741
46	Eczbek	1738
47	set67	1734
48	Groundler	1676
49	ApophisNova	1656
49	MyNamaSheff	1656
51	zToasty69z	1622
52	Smashic	1613
53	pixelviolin	1612
54	Spenduh	1595
55	HesDemonPants	1590
56	ElectricDragon81	1582
57	TheSecondLord	1552
58	Blaiku	1533
59	Kyrum2169	1515
60	YungMaki	1466
61	Kakolbus	1460
62	EveryonesUncle	1415
63	Shogunite	1408
64	myaccountwasgone	1396
65	PazinGaming	1387
66	StarCookiees_	1369
67	luseis	1304
68	oscminus	1296
69	Lord_Jord	1287
70	MAns_44	1271
71	emreknugrlu	1216
72	crashomon	1201
73	Chromary	1189
74	NameGenerat0r	1162
75	Kubeusz2010	1139
76	CollinMH06	1128
77	DarlaMeow	1057
78	T045RTY	1049
79	mimbo1211	1014
80	Blu3beast	997
81	k_ce	994
82	thewindmillman	984
83	yheece	982
84	Luminad3	975
85	Skylord_Luke	972
86	Wooptey	959
87	PhantomsGhost_	954
88	Merv__	948
89	PigDab	918
90	MilleGrug	900
91	taengoos	884
92	Rasmanden	861
93	bl1ss0	860
93	HellsSponge	860
95	ECstardust	853
96	FishyBoy3811	849
97	Historical_Sand	832
98	Frozil20	819
99	Mattesco	812
99	sammidk	812
101	weabis	808
102	AlexxO_o	801
103	Truckoss	788
104	vandmanden	786
105	TheKingK_	783
106	Crowman1	763
107	F_Uhre	759
108	pintsizedrogue	751
109	Incinere	686
110	laron58	682
111	__tomato	671
111	Soplight	671
113	NoobyandApple	668
114	FreakGenius	666
115	12Magner05	664
116	Mr_Byzantine	659
117	MightyWertu	658
118	fluddd	656
119	Steelynan	654
120	Comma__	651
121	Da_Boss_Rani	648
122	NatalieTW	640
123	lorywithay	638
124	PortlyPete69	619
125	Mr_Froxy	616
126	RobotMinion101	611
127	FishisTTV	605
128	PlasticOtari	596
129	ImpavidArcher	582
130	XboxPanda	565
131	emrekn	551
132	Soap_Bender	545
133	Eraxa	531
134	Wowful	527
135	LugusMcGrugus	517
136	SammiWolfGirl	514
137	Groovy_MoonBird	509
138	Arceus1975	501
139	le4ves	495
140	ProbsNotNova	494
141	SpacesickPrism	493
142	xxPipperDipperxx	489
143	JoeSaysBingBong	481
144	Krowuss	480
145	deleteduser3c11b	470
146	BPTY4618	461
147	Inchef	455
147	ItsDeltaMC	455
149	6king6colt6	452
150	pretty_pink_reno	448
151	_Huge_Male_	440
151	WyngGoy	440
153	H0UNDFRMH3LL	438
153	TheBananaKat	438
155	hermmm_	431
156	_TCARREIRA_	426
157	Snowflowe	418
158	CattSoup	406
159	Fullbit_	400
160	MattieHD	392
160	El_Jalapeno	392
162	Zcolt69	385
163	LeEricc	382
164	claivin	379
165	SvenskaHugo	376
166	amkold	372
167	OtherAnimus	370
168	Tyrannosplart	369
168	Enderxz3	369
170	Swexti	368
171	CLG_Kata	367
172	fkGrim	362
173	obzii	359
174	teslawolf38	354
175	SellyZ	351
176	_Dean_123	348
177	Secret_Canary	333
178	Fuad_R	328
179	HyperCave	323
180	IdeallyGrey	322
180	cichy096	322
182	Gus2005	321
183	AJbeast01	320
184	WET_WET_WET	317
184	Dakar_	317
186	Onennon	316
187	BadenStayFly	312
188	PlzNoBM	308
188	Sral7	308
190	SyntheticSurgeon	304
191	Xalithia	303
192	burbankbuilder28	301
193	Boipl	300
194	Fullut	296
195	TheWickedBird	295
196	U_Mos_	286
196	Cocoamallows	286
198	annebolyn	285
199	_darky1_	280
200	lava124	275
201	Buuck_	273
202	Sheldor097	265
203	Z3braYTIL	262
204	FreddyFart	261
204	Inbefour	261
206	SquadMonster	260
207	SpartanNamor	259
207	HolyVenom	259
207	brofrickcheaters	259
210	jcool7	258
211	gonzzts	256
212	Nicserso	254
213	fade_emerge78823	249
214	Warlord324	247
215	elliebelle107	246
216	prelutrinae	244
217	mihimihimihi	235
218	Hiryu27	232
219	Mobstr	229
219	00000000-0000-0000-0009-01f53dff86f7	229
221	NATE_the_HALO	225
222	seramalen	224
222	SpaggeDR	224
224	I_Am_Mushkin	223
225	Skippeh	221
226	xzvu	218
227	Maenara	213
228	gcaisawesome	209
228	Winklepicker279	209
230	Apollo_993	208
231	Zee_zey	207
232	MovingFish7	205
233	rezi	204
234	AspenLightVT	201
235	skroobiez	198
236	TheWildMateo	196
237	GooseWithin	193
237	Hahaa_0	193
237	RedcatVII	193
240	Tolhart	192
240	NotKaden_	192
240	pumpfonzo	192
240	Gzrdy	192
240	StinkyDiplomat	192
240	BinChickenBrine	192
240	_Dri_	192
247	Blammm	191
248	RasseThePanda	189
249	Zythose	182
249	ayamefag	182
251	lorpus	180
252	akap47	179
252	TheEnderMan548	179
254	Xclax101	178
255	SaucyDark	175
256	theonlymagikarp	174
257	lizardfightclub	173
258	_Nat666	172
258	_Duckery	172
260	Chickenchaser2	169
260	Iamthejo	169
262	Saucepeh	167
263	shadowthemonkey	166
263	QuesoCrusaderIII	166
265	Awyrlas	161
266	maxdacatv2	160
266	groofles	160
268	mariominejedi	159
269	hm947	158
