rank	username	minecraft:dropped/minecraft:flowering_azalea
1	thewindmillman	2547
2	Hyp3rion_	938
3	noam464	514
4	Iamthejo	454
5	EMC_	353
6	Jackattack53	280
7	beeperbeeper5	231
8	AdmiralSmoke	218
9	EcksD	132
10	Inchef	84
11	eitanzaki	44
12	Alteriity	43
13	xxPipperDipperxx	39
14	SpacesickPrism	38
15	Lez_	35
15	shadowthemonkey	35
17	Archsam	26
18	H0UNDFRMH3LL	23
19	luseis	18
19	Manaateee	18
21	AlexxO_o	16
22	Crowman1	15
23	tuckerdoodle	14
24	12Magner05	12
24	hanaryheatwave	12
26	Kowcio_	11
26	LeEricc	11
28	UCP_TheKingK	10
29	SteveCraftBlocks	9
29	MineMaster0012	9
29	EngagedGrub41	9
29	Jimb0nat0r	9
33	itburb	8
33	Mahoose	8
33	Mr_Sun15	8
36	TheDankPlatypus	7
36	Fuad_R	7
36	SvenskaHugo	7
39	k_ce	6
39	NameGenerat0r	6
39	Segotep999	6
42	Mattesco	5
42	PigDab	5
42	iSammael	5
42	Nicserso	5
46	CoffeeNoir	4
46	EveryonesUncle	4
46	fluddd	4
46	Soplight	4
46	MilleGrug	4
51	pintsizedrogue	3
51	ECstardust	3
51	jessewegottacook	3
51	2Stout	3
51	Krowuss	3
51	Rebytre	3
51	Samificator	3
51	NomadicRobin_	3
51	YungMaki	3
60	_Huge_Male_	2
60	BPTY4618	2
60	PazinGaming	2
60	lunathelemon	2
60	500am	2
60	Kakolbus	2
60	Marbz_	2
60	SuperPooch06	2
60	AstreaTSS	2
60	MAns_44	2
60	Spacewardharpy7	2
60	Spenduh	2
60	Legendosh	2
60	calamariclam_I	2
60	00000000-0000-0000-0009-01ff0c3e5e4f	2
75	diamondgolem35	1
75	Killercatty78	1
75	lorywithay	1
75	Valoth	1
75	BreadCatFan5400	1
75	Smashic	1
75	lorpus	1
75	Jonafrog99	1
75	Skylord_Luke	1
75	PaperCanvas	1
75	Jimi7hits	1
75	Avocadogerms	1
75	OffWithTheirHead	1
75	mihimihimihi	1
75	lordpipe	1
75	Myntsys	1
75	StarCookiees_	1
75	2blox_	1
