rank	username	minecraft:dropped/minecraft:chiseled_stone_bricks
1	EcksD	3195
2	lordpipe	1218
3	Di_infiri	781
4	noam464	745
5	eitanzaki	733
6	diamondgolem35	589
7	beeperbeeper5	450
8	FreakGenius	427
9	Comma__	354
10	Tyrannosplart	331
11	cog	297
12	Hisiste	282
13	FishisTTV	256
14	_Virify_	220
15	Skylord_Luke	143
16	Werbe	133
16	binman420	133
18	Kowcio_	105
19	EveryonesUncle	94
20	TheSecondLord	71
21	alderban107	68
22	Lord_Jord	67
23	BlueZabu	66
24	0Vyp_	64
24	Katthaj	64
24	AssFullaCum	64
24	Sral7	64
28	SmashingPump	48
28	M_Patata	48
28	Maenara	48
31	Megarboh	46
32	MasterNueve	45
32	sadvavilloso	45
34	Xclax101	44
34	Kura2218	44
36	lorpus	42
37	pumpfonzo	39
38	GlitchyPlate810	38
39	Frozil20	34
40	fluddd	32
40	jnp_gaming	32
42	Gundam_Steven	31
43	ThePoliteG	30
43	Smoke____	30
45	NameGenerat0r	29
46	thewindmillman	26
47	Blu3beast	25
47	Ezekson	25
49	TechnoNinja64	23
50	Lez_	21
51	benediktine1	20
52	Alteriity	17
52	Blackberry1310	17
52	GreedyFern8581	17
55	bladeefan2009	15
56	kekhon	13
57	Shogunite	12
58	Legendosh	11
59	ganyuganyu	10
60	PlasticOtari	9
61	Inchef	8
61	burbankbuilder28	8
61	TheShyPig	8
64	ItsColin11	7
64	YungMaki	7
64	Enderxz3	7
67	Jackattack53	6
67	SuperPooch06	6
67	RobotMinion101	6
67	AlexxO_o	6
67	Leyna3	6
67	lillips	6
67	LordSpeed37	6
74	rarrq	5
74	Moofyman	5
74	SSytex_X	5
77	dudcreeper	4
77	Mahoose	4
77	SquadMonster	4
77	lilsay	4
77	Xalithia	4
77	TableTim	4
77	Nickitoe	4
77	stavgod	4
77	cichy096	4
77	2bolx_	4
87	pintsizedrogue	3
87	Bandito_Roamer	3
87	Tommhh	3
87	Kakolbus	3
87	PigDab	3
87	07shiny	3
87	PortlyPete69	3
87	VentiHilton	3
87	Skippeh	3
96	Hyugo	2
96	SaucyDark	2
96	CoffeeNoir	2
96	Swalt	2
96	MinttyFressh	2
96	boog4loo	2
96	mwrty	2
96	Typadopoulos	2
96	Godspirit249	2
96	RealGroot	2
96	CalebDHawk	2
96	jcool7	2
96	_KuruKuru	2
96	xolstoi	2
96	trexgb	2
111	HBA00_	1
111	PhantomsGhost_	1
111	soundad	1
111	Merv__	1
111	EMC_	1
111	KarlKaek	1
111	ImpavidArcher	1
111	T045RTY	1
111	Natty	1
111	Myszoaz	1
111	MrKrabOnCoke	1
111	crying_wolf_13	1
111	thescout7	1
111	eviltunix	1
111	SellyZ	1
111	hcb238	1
111	Touched_Bread	1
111	eiC_	1
111	Marbz_	1
111	Hyp3rion_	1
111	killmeiamtraitor	1
111	Jeteight	1
111	Donutt	1
111	Bumpy419	1
111	brycepants	1
111	sammidk	1
111	Fuhrer_Teemo	1
111	SkateboardR6	1
111	Vorlice	1
111	Leithz6	1
111	layabout100	1
111	carbo_bro	1
111	lcvezra	1
111	Moetis	1
111	Kferno	1
111	K_a__a_n	1
111	Njensen7	1
111	OfficerAnvil	1
111	tompup	1
111	FallenCorps	1
111	The_SlideV5	1
111	h2p_emrld	1
