rank	username	minecraft:dropped/minecraft:prismarine_brick_slab
1	NatalieTW	574
2	CliffEmAll	319
3	AdmiralSmoke	265
4	eitanzaki	247
5	Ezekson	159
6	Bumpy419	138
7	beeperbeeper5	135
8	Chromary	128
9	Hyp3rion_	118
10	Jackattack53	109
11	noam464	93
12	SmashingPump	64
13	PigDab	59
14	Frozil20	55
15	lordpipe	50
16	Steelynan	39
17	diamondgolem35	38
18	thescout7	34
19	lizardfightclub	27
20	Maenara	22
21	HellsSponge	19
22	Arceus1975	18
22	jcool7	18
24	Blu3beast	12
25	ConnorDanky_	10
26	SammiWolfGirl	9
27	rarrq	6
27	eviltunix	6
27	gcaisawesome	6
30	Kakolbus	5
31	Onennon	4
31	Legendosh	4
33	M_Patata	3
33	Racengan	3
33	MasterNueve	3
36	ImpavidArcher	2
36	TheSecondLord	2
36	thewindmillman	2
36	xzvu	2
36	ZoomieZoomie	2
41	Tolhart	1
41	Skylord_Luke	1
41	Blaiku	1
41	Groundler	1
41	Catharsist	1
41	EngagedGrub41	1
41	Skippeh	1
41	Powowowow	1
