rank	username	minecraft:dropped/minecraft:brain_coral_block
1	Blaiku	70
2	MattieHD	64
3	eiC_	52
4	Maenara	43
5	Onennon	34
6	thewindmillman	31
7	Skylord_Luke	23
8	Jackattack53	18
9	eitanzaki	13
10	AlexxO_o	12
10	jnp_gaming	12
12	EdGalbraith	6
13	Lez_	5
13	Arceus1975	5
15	SmashingPump	4
15	noam464	4
15	Werbe	4
15	Shiirazu	4
15	FreakGenius	4
20	Blu3beast	3
21	Quaintster	2
22	Jovaphobic	1
22	beeperbeeper5	1
22	AspenLightVT	1
22	YungMaki	1
22	Sral7	1
22	Zoeyfortnite	1
22	Yamdalorian	1
22	TheWickedBird	1
