rank	username	minecraft:dropped/minecraft:bamboo_fence
1	lordpipe	42
2	Fullbit_	28
3	k_ce	26
4	_witch_craft_	9
5	Buuck_	6
6	PazinGaming	4
6	robonya_	4
8	Synthoum	2
9	craaaash	1
