rank	username	minecraft:dropped/minecraft:pink_bed
1	Blu3beast	56
2	Boboczus	44
3	Sheldor097	24
4	HellsSponge	20
4	EcksD	20
6	Soplight	13
7	Werbe	12
8	NarwhalTaco	10
9	AlexxO_o	9
10	Frozil20	7
10	Racengan	7
10	Steelynan	7
13	lordpipe	6
14	beeperbeeper5	4
15	ergoalias	3
15	burbankbuilder28	3
15	AltnumberF4	3
18	Pelbo	2
18	4774	2
18	lorpus	2
18	Njensen7	2
18	RadarHz	2
23	pintsizedrogue	1
23	TildaAndrea	1
23	Incinere	1
23	Huwulling	1
23	kekhon	1
23	Xalithia	1
23	olliebollie48	1
23	noam464	1
23	Mat07	1
23	Akoot_	1
23	luseis	1
23	NameGenerat0r	1
23	MineMaster0012	1
23	UCP_TheKingK	1
23	djancak	1
23	anbbang	1
23	Ezekson	1
23	xolstoi	1
