rank	username	minecraft:dropped/minecraft:potion
1	Hyp3rion_	21931
2	noam464	3959
3	Lez_	2928
4	Jackattack53	1169
5	thewindmillman	1136
6	eitanzaki	1118
7	hanaryheatwave	812
8	EcksD	805
9	Frozil20	772
10	Blaiku	709
11	beeperbeeper5	608
12	Werbe	567
13	SammiWolfGirl	522
14	kekhon	490
15	PhantomsGhost_	489
16	_Mythic____	485
17	Di_infiri	436
18	Soplight	412
19	Yamdalorian	403
20	Racengan	351
21	crashomon	272
22	Kowcio_	258
23	Fuad_R	242
24	jnp_gaming	226
25	EMC_	224
26	Eraxa	221
27	FreakGenius	198
28	Fullut	192
29	pintsizedrogue	182
30	emreknugrlu	168
31	Arceus1975	163
32	Smashic	161
33	MightyWertu	159
33	TechnoNinja64	159
35	HellsSponge	154
36	NomadicRobin_	152
37	pretty_pink_reno	144
37	pixelviolin	144
39	Akoot_	140
40	k_ce	137
41	PigDab	130
42	Inchef	127
43	xxPipperDipperxx	125
43	WyngGoy	125
45	Mahoose	122
46	diamondgolem35	121
46	AspenLightVT	121
48	ougstur	118
49	Mattesco	112
50	TheSecondLord	109
51	lordpipe	105
52	T045RTY	102
52	EveryonesUncle	102
52	StinkyDiplomat	102
55	ECstardust	100
55	TheKingK_	100
57	joethahobo	97
58	YungMaki	96
58	annebolyn	96
60	SvenskaHugo	92
61	CalebDHawk	91
62	GooseWithin	85
62	Pumpkin_P_Patch	85
64	bl1ss0	81
65	SnowyAvi	79
66	ProfessorBee	74
67	RebelAndroid	71
67	_Dean_123	71
69	Spacewardharpy7	70
70	Felenov	69
71	Chromary	68
72	LeauVox4921	66
73	luseis	65
74	Bumpy419	64
74	Celeste_121	64
76	Segotep999	61
77	monky_irl	60
77	djancak	60
77	jcool7	60
80	_Virify_	57
80	bloodbiter	57
82	Alteriity	56
82	500am	56
82	oscminus	56
82	AlexxO_o	56
86	Merv__	54
87	Legendosh	52
88	Kkanot	51
88	gcaisawesome	51
90	Groovy_MoonBird	50
90	hermmm_	50
92	Auseawesome	49
93	Krowuss	48
93	Manaateee	48
95	Zxhir	47
95	ARandomHedge	47
97	Archsam	46
97	Quaintster	46
99	Saucepeh	44
99	r123moore	44
99	Ezekson	44
102	q_wq	42
102	EdGalbraith	42
102	Steelynan	42
102	ConnorDanky_	42
106	Bandito_Roamer	40
106	miramyu	40
108	Deu_Stew	39
108	rarrq	39
108	mihimihimihi	39
111	Huwulling	38
112	Enderxz3	37
113	Snowflowe	36
114	LordSpeed37	35
114	Sral7	35
116	KingEgg1	34
116	Lord_Jord	34
118	Historical_Sand	33
119	Blackberry1310	31
119	jushykins	31
119	SteveCraftBlocks	31
119	HolyVenom	31
119	DarlaMeow	31
119	Blu3beast	31
119	TheImperial	31
126	Tyrannosplart	30
126	3_Solar_3	30
126	skitzxo	30
129	SlayerCrypto	29
129	Zoeyfortnite	29
131	Xclax101	28
131	fluddd	28
133	MovingFish7	26
133	Ze_BaronKrigler	26
135	selectrix	25
136	Marbz_	24
136	MakeHistory157	24
136	Kyrum2169	24
139	ImpavidArcher	23
139	claivin	23
139	StarCookiees_	23
139	__tomato	23
139	laron58	23
144	masskedman	22
144	Dreamdbr14	22
144	Jimb0nat0r	22
147	Mr_Byzantine	21
147	Boipl	21
149	gren_ben	20
149	Mr_Froxy	20
151	Creativebuilder2	19
151	catandmoose	19
151	Nyxiom_	19
151	sp00ky_ghost977	19
151	_TCARREIRA_	19
156	mwrty	18
156	Cruncy_	18
158	titanlax	17
158	ThePoliteG	17
158	himak1	17
158	legal_tax_evader	17
158	FishyBoy3811	17
158	Spenduh	17
158	calamariclam_I	17
165	FirsTimeGamingTV	16
165	LoboTheLobster	16
165	12Magner05	16
165	excelsionprime	16
165	RebytreGT	16
165	Luminad3	16
165	Maenara	16
172	H0UNDFRMH3LL	15
172	Ecplosive	15
172	FiguraDei	15
172	IdeallyGrey	15
172	TheBananaKat	15
177	bugrq_	14
177	Megarboh	14
177	ApophisNova	14
177	LeeMcGee30	14
177	zOnlyKroks	14
177	MyNamaSheff	14
183	_Huge_Male_	13
183	SoosAmongus	13
183	SmashingPump	13
183	teslawolf38	13
183	6king6colt6	13
183	Sleek_Storm_721	13
183	Crowman1	13
183	CliffEmAll	13
183	IamCL4SSY	13
183	Buuck_	13
183	FishisTTV	13
194	TildaAndrea	12
194	I_Am_Mushkin	12
194	Mariopreeet	12
194	Blammm	12
194	Shortest_Man	12
194	1442	12
194	Hisiste	12
201	CLG_Kata	11
201	PazinGaming	11
201	Tolhart	11
201	Incinere	11
201	MattieHD	11
201	Awyrlas	11
201	olliebollie48	11
201	WET_WET_WET	11
201	Donutt	11
201	Mr_Sun15	11
201	yulgur1	11
201	FlashMigma	11
201	Druid95	11
201	xzvu	11
215	Ryan_GEMS	10
215	LagVibes	10
215	livingdaydreams	10
215	set67	10
215	thescout7	10
215	Azmodan_246	10
215	lunkuku	10
215	_Yonk_	10
215	elliebelle107	10
215	Nicserso	10
