rank	username	minecraft:dropped/minecraft:polished_deepslate_stairs
1	Jackattack53	421
2	mihimihimihi	198
3	TheSecondLord	92
4	YungMaki	64
5	Jimb0nat0r	39
6	Lez_	25
7	Skylord_Luke	21
8	Myszoaz	18
9	hm947	13
10	PazinGaming	12
11	Touched_Bread	11
12	ImpavidArcher	10
12	fade_emerge78823	10
12	2extreeme	10
15	TooPure2	9
16	Sleepy_Time_	6
17	Mattesco	4
17	luseis	4
19	Groovy_MoonBird	3
19	beeperbeeper5	3
21	LeonelSalamanca	2
21	Kowcio_	2
23	EMC_	1
23	Da_Boss_Rani	1
23	12Magner05	1
23	500am	1
23	Fuad_R	1
23	weabis	1
23	lordpipe	1
23	Nicserso	1
