rank	username	minecraft:dropped/minecraft:cookie
1	kekhon	22879
2	TechnoNinja64	4420
3	eitanzaki	3378
4	Hyp3rion_	3078
5	Blackberry1310	2285
6	PhantomsGhost_	2111
7	Di_infiri	1398
8	gcaisawesome	1296
9	H0UNDFRMH3LL	1154
10	epiksk8erduck	1059
11	Mahoose	982
12	Lez_	979
13	Frozil20	926
14	wTXop	823
15	noam464	821
16	Akoot_	664
17	EcksD	652
18	rarrq	595
19	Fullut	519
20	Tyrannosplart	511
21	Groovy_MoonBird	490
22	Smashic	484
23	FreakGenius	474
24	BeastyBoi954911	432
24	oscminus	432
24	claivin	432
27	MightyWertu	366
28	Soplight	365
29	TheShyPig	342
30	Krasnal1337	334
31	Yamdalorian	332
32	Werbe	328
32	StarCookiees_	328
34	Blu3beast	315
35	SyK7	313
36	lia1337owo	308
37	Jackattack53	307
38	ZaneABrain	298
38	beeperbeeper5	298
40	Steelynan	291
41	Blaiku	281
42	luseis	268
43	miramyu	257
44	Rumpletaezer	246
45	bloodbiter	241
46	xzvu	237
47	set67	226
48	pintsizedrogue	217
49	diamondgolem35	216
50	fluddd	213
51	ImDisconnected_	203
52	cichy096	202
53	Skippeh	196
54	Arceus1975	194
54	emreknugrlu	194
56	Boboczus	192
56	LilLizardWizard	192
56	NATE_the_HALO	192
59	fallingemma	179
60	FishisTTV	162
61	myaccountwasgone	161
62	Apollo_993	160
63	NomadicRobin_	158
64	annebolyn	157
65	Celeste_121	152
66	skitzxo	144
67	MOSS000	139
67	YungMaki	139
69	danotz	132
70	jacxhadow	128
70	ARCTICxLORD	128
72	joethahobo	125
73	__tomato	122
74	Kowcio_	121
75	RosaDoesMC	120
76	_Virify_	108
77	Luminad3	105
78	peach0s	104
78	Calbo_	104
80	thgrocks	101
80	NameGenerat0r	101
82	Saucepeh	99
83	6king6colt6	97
83	Vellu21	97
85	ImNotYuqii	96
86	Myszoaz	94
87	lordpipe	93
88	MovingFish7	80
88	pixelviolin	80
90	Legendosh	79
91	Hiryu27	78
92	jcool7	77
92	Oxygen16	77
94	GreedyFern8581	74
94	Zoeyfortnite	74
96	Sleepy_Time_	73
97	Spenduh	72
98	That_tech_head	65
99	MakeHistory159	64
99	GarthWiest	64
99	RebelAndroid	64
99	titanlax	64
99	DirtyBoar	64
99	McLovin003	64
99	Jiminbub	64
99	Avocadogerms	64
99	apnos	64
108	heckface	63
108	EveryonesUncle	63
108	Kyrum2169	63
108	SSytex_X	63
112	Natty	61
113	k_ce	60
114	I_Am_Mushkin	59
114	ConnorDanky_	59
116	starBURST312	56
117	PortlyPete69	55
118	XboxPanda	54
119	paranoid_plant	51
119	Skylord_Luke	51
121	pixelings_	50
122	KarlKaek	48
122	elliebelle107	48
124	2Stout	47
125	Boipl	45
125	KevinLevrone9983	45
127	Incinere	44
127	iElijahi	44
127	Comma__	44
127	The11thDoctor	44
127	738b4f65-6cbd-4ead-ba31-c14211abfb06	44
127	Russiancat1	44
133	RoseLilyTV	43
134	Alteriity	42
135	TheSeismicDuck	40
136	AlexxO_o	39
137	fr_ser	38
137	Tou3bann	38
137	Nicserso	38
140	Ezekson	35
141	DarlaMeow	34
142	bigstankyy	33
143	Chromary	32
143	pretty_pink_reno	32
145	The_Quack_Dealer	31
145	CalebDHawk	31
147	Killercatty78	30
148	Reamdin	29
149	Quaintster	28
150	Hetti301	26
151	seramalen	25
151	fw3xy74	25
151	AssFullaCum	25
151	hermmm_	25
155	Segotep999	23
156	YungWali	22
157	EkkoTraveler	21
157	Spacewardharpy7	21
159	GravitySaint	20
160	T045RTY	19
160	Eraxa	19
162	EMC_	18
162	_Dean_123	18
162	Fuad_R	18
165	12Magner05	17
165	UncreativeArtist	17
165	gloominq	17
165	duqboy	17
169	SteveCraftBlocks	16
169	500am	16
171	SyntheticSurgeon	15
171	Sleepy_Evelyn	15
171	Inchef	15
171	olliebollie48	15
171	DeeDeeThonk	15
176	SuperPooch06	14
177	Charmyboi	13
177	Groundler	13
179	mimbo1211	12
179	Lord_Doob	12
181	angpony4267	11
181	HellsSponge	11
183	Kakolbus	10
183	crashomon	10
183	Biites	10
186	Jovaphobic	9
186	r123moore	9
188	jessemgaming	8
188	Lazy_geniusig	8
188	poopybh	8
188	2_young_2_die	8
188	radioactv_jelly	8
188	Luigipunch989	8
188	Dreamdbr14	8
188	Kubeusz2010	8
196	thewindmillman	7
196	Chrisdeadeye	7
196	AspenLightVT	7
196	IdeallyGrey	7
196	fffMike	7
201	surfinggiraffejp	6
201	BlankityMcBlank	6
203	Raltemoxitonica	5
203	The_slideV3	5
203	CornOnTheCobalt	5
203	SammiWolfGirl	5
207	TooPure2	4
207	TheSecondLord	4
207	MeowMeowMcmuffin	4
207	himak1	4
207	pappaberg	4
207	EdGalbraith	4
207	Manaateee	4
207	_Karmaa	4
207	DanTheBuilderino	4
207	Cache3	4
207	Jimb0nat0r	4
218	Wooptey	3
218	Huwulling	3
218	Euclidoris	3
218	MattieHD	3
218	Cambo5000	3
218	Beezel	3
218	Kynigito	3
218	Cocoamallows	3
218	JasmineGK	3
227	Minimize501	2
227	HollieDaNugget	2
227	Vizzoid	2
227	MinePowerz	2
227	m_be9	2
227	AdvertisingMerc	2
227	bl1ss0	2
227	2extreeme	2
227	LugusMcGrugus	2
227	Maenara	2
227	Inbefour	2
227	XxCookiequeenxX	2
227	censorsheep	2
227	Racengan	2
227	SkateboardR6	2
227	Druid95	2
227	FiguraDei	2
227	_TCARREIRA_	2
245	RIDDLYRIGHT	1
245	FujiBS	1
245	Ilinca_Io	1
245	cheerytomato	1
245	thescout7	1
245	Jase573	1
245	Mouse74	1
245	iHuBlack	1
245	Zythose	1
245	ApophisNova	1
245	Cruncy_	1
245	Onennon	1
245	A_Potatoe	1
245	PigDab	1
245	St4nLe7	1
245	parodypatient	1
245	gustarlep	1
245	Toiton	1
245	E775	1
245	Travka100	1
245	Universz	1
245	izzybearh	1
245	mr_crabs761	1
245	sp00ky_ghost977	1
245	Razzgriz	1
245	Kura2218	1
245	EtherealEspresso	1
245	UltraZombie	1
245	4G00DN4M3	1
245	Etnavn373	1
245	MyNamaSheff	1
245	jnp_gaming	1
245	PlasticOtari	1
245	mediumBev	1
