rank	username	minecraft:dropped/minecraft:mossy_stone_brick_wall
1	Yamdalorian	13
2	Manaateee	6
3	Mimiir345	2
3	Rich_Kat	2
3	noam464	2
3	Freedrik	2
7	EMC_	1
7	ImpavidArcher	1
7	eitanzaki	1
7	Shogunite	1
7	Kowcio_	1
