rank	username	minecraft:dropped/minecraft:brick_stairs
1	TechnoNinja64	96
2	Steelynan	82
3	xzvu	71
4	DarlaMeow	67
5	thewindmillman	52
6	FreakGenius	45
7	beeperbeeper5	40
8	Di_infiri	36
9	Akoot_	27
10	Lez_	25
11	pintsizedrogue	22
12	Frozil20	21
13	Kowcio_	20
14	EveryonesUncle	18
15	Mahoose	17
16	Kakolbus	13
17	Blackberry1310	10
17	Crizma_	10
17	Skylord_Luke	10
17	Segotep999	10
17	Nicserso	10
22	Enderxz3	9
23	Ezekson	8
24	Secret_Canary	7
24	Jackattack53	7
26	2Stout	6
26	FiguraDei	6
28	burbankbuilder28	5
28	Jimb0nat0r	5
30	JohnnyFyes	4
30	Merv__	4
30	eitanzaki	4
30	noam464	4
30	crashomon	4
30	CalebDHawk	4
30	skitzxo	4
37	_Huge_Male_	2
37	joethahobo	2
37	Hyp3rion_	2
37	NomadicRobin_	2
37	Spacewardharpy7	2
37	Soplight	2
43	k_ce	1
43	Mr_Byzantine	1
43	Archsam	1
43	Doom_melon	1
43	fragrantmonke444	1
43	Ryanix	1
43	Boipl	1
43	Onennon	1
43	StarCookiees_	1
43	Pumpkin_P_Patch	1
43	_i_ERROR_i_	1
43	ConnorDanky_	1
