rank	username	minecraft:dropped/minecraft:white_terracotta
1	thewindmillman	115092
2	EcksD	3587
3	DarlaMeow	1786
4	FreakGenius	1349
5	Skylord_Luke	829
6	CoffeeNoir	804
7	_Bguette_	704
8	Blaiku	657
9	RedcatVII	512
10	Mahoose	411
11	masskedman	408
12	joethahobo	350
13	eitanzaki	334
13	Hyp3rion_	334
15	YungMaki	287
16	SuperPooch06	277
17	Kowcio_	266
18	MirielThePastor	263
19	little_dUki	256
19	Jimb0nat0r	256
21	MilleGrug	254
22	TheSecondLord	227
23	beeperbeeper5	224
24	WET_WET_WET	192
25	Wooptey	173
25	Spacewardharpy7	173
27	Deodorante	161
28	SDMNAEK	136
29	xolstoi	135
30	EveryonesUncle	133
31	Akoot_	129
32	Merv__	128
32	groofles	128
32	Karbl	128
35	Historical_Sand	119
36	ConnorDanky_	117
37	kekhon	113
38	Huwulling	107
39	mwrty	101
40	AdmiralSmoke	88
41	Crowman1	78
42	Euclidoris	76
43	KingMatthew506	74
44	mariominejedi	72
45	Inbefour	70
46	Werbe	68
47	PazinGaming	67
47	Enderxz3	67
49	EMC_	66
49	Snowflowe	66
51	Rebytre	65
52	Kamflame10	64
52	Jonafrog99	64
52	Shogunite	64
55	_8man	63
56	LeEricc	61
57	lillips	58
58	gcaisawesome	56
59	Barlycorn	54
60	The11thDoctor	50
61	El_Jalapeno	46
62	olliebollie48	42
63	XboxPanda	41
64	Blu3beast	40
64	mihimihimihi	40
66	rarrq	39
66	yheece	39
68	Kakolbus	35
68	jcool7	35
70	Swexti	34
70	Jackattack53	34
72	Rumpletaezer	33
73	Alteriity	31
73	emrekn	31
75	Di_infiri	30
76	Natty	29
76	noam464	29
76	the_russell1611	29
79	Segotep999	28
80	Dakar_	27
81	Krowuss	23
82	QuiCreans	21
83	fr0stss	19
83	ProfessorBee	19
85	jnp_gaming	18
86	_Karmaa	17
87	Luminad3	16
87	SammiWolfGirl	16
89	NameGenerat0r	12
90	MightyWertu	11
90	TechnoNinja64	11
92	lordpipe	10
92	SSytex_X	10
92	SpaceTurtleOX	10
92	Sral7	10
96	djancak	9
97	sp00ky_ghost977	8
98	Nyxiom_	7
98	Skippeh	7
100	Groovy_MoonBird	6
100	NatalieTW	6
100	Saucepeh	6
100	Parcc	6
100	HyperCave	6
100	Dan_Scha	6
100	Legendosh	6
107	Blackberry1310	5
107	ROY4LE	5
107	ApophisNova	5
107	MyNamaSheff	5
111	Jovaphobic	4
111	Gemstuff	4
111	m_be9	4
111	Fullut	4
111	Eraza	4
111	Xalithia	4
111	TheShyPig	4
111	Tyrannosplart	4
111	Avocadogerms	4
111	Hermanni__	4
121	ItsGrayWolf	3
121	Frozil20	3
121	Inchef	3
121	xxPipperDipperxx	3
121	ImDisconnected_	3
121	Blamphe	3
121	fluddd	3
121	Nicserso	3
121	AltnumberF4	3
130	TooManyDuck	2
130	Zaridey	2
130	Bumpy419	2
130	AlexxO_o	2
130	yulgur1	2
130	NomadicRobin_	2
130	Steelynan	2
137	ProbablyNick	1
137	Iagoku	1
137	Sabby65	1
137	T045RTY	1
137	ZaneABrain	1
137	Lez_	1
137	MrKrabOnCoke	1
137	12Magner05	1
137	SellyZ	1
137	Fuad_R	1
137	The_slideV3	1
137	OffWithTheirHead	1
137	MovingFish7	1
137	Eraxa	1
137	Weepingbiel	1
137	PlasticOtari	1
137	WinterYoke	1
