rank	username	minecraft:dropped/minecraft:dark_oak_stairs
1	KingMatthew506	437
2	kekhon	361
3	beeperbeeper5	309
4	Manaateee	289
5	Uzbeki_John	287
6	Skippeh	268
7	FreakGenius	243
8	Archsam	185
9	burbankbuilder28	142
10	rarrq	140
11	luseis	136
12	emreknugrlu	133
13	Frozil20	132
14	k_ce	130
15	EcksD	123
16	Segotep999	122
17	Zythose	119
18	Kowcio_	94
19	Eraxa	93
20	EMC_	92
21	diamondgolem35	82
22	DinoDoctor_	74
23	500am	70
24	Mahoose	67
25	H0UNDFRMH3LL	66
25	Merv__	66
27	CliffEmAll	65
28	Ze1ig	64
29	eitanzaki	63
30	Akoot_	62
31	YungMaki	61
32	EveryonesUncle	60
33	CalebDHawk	57
34	thewindmillman	55
35	Di_infiri	53
36	Werbe	51
37	MuffinManzz	49
38	Xclax101	47
39	Kyrum2169	44
40	Lez_	43
40	TheOuterCore	43
42	Hahaa_0	42
43	Soplight	41
43	Legendosh	41
45	fluddd	39
46	Ezekson	38
47	RebelAndroid	36
47	Saucepeh	36
49	TheSecondLord	35
50	_Huge_Male_	33
50	QuesoCrusaderIII	33
52	Avocadogerms	32
52	TheKingK_	32
54	Chromary	31
55	bl1ss0	29
56	Blu3beast	27
57	Spacewardharpy7	26
58	SaucyDark	25
58	miramyu	25
60	Groovy_MoonBird	23
60	_Dean_123	23
60	xzvu	23
63	Alteriity	22
63	Mattesco	22
63	NameGenerat0r	22
63	skitzxo	22
63	JayToe	22
68	intropass	21
68	JoCoLi	21
70	Shadoko_	20
70	Stiar	20
70	Dakar_	20
73	Blackberry1310	19
74	fallingemma	18
74	RebytreGT	18
76	Covalents	17
76	Jackattack53	17
76	TechnoNinja64	17
79	6king6colt6	16
79	I_Am_Mushkin	16
79	XboxPanda	16
79	Winklepicker279	16
79	ScootOfBoot	16
79	iSammael	16
85	ItzYaBoiPicard	14
85	StarCookiees_	14
85	SvenskaHugo	14
85	Yamdalorian	14
89	Smashic	13
89	dartwaffle	13
89	groofles	13
92	hm947	12
92	m_be9	12
92	ROY4LE	12
92	Bumpy419	12
92	AlexxO_o	12
92	FishyBoy3811	12
92	Luminad3	12
92	Quaintster	12
92	lordpipe	12
92	_Mythic____	12
102	Huwulling	11
102	Prismyst	11
102	Ssor69	11
102	F_Uhre	11
102	Wowful	11
102	Karbl	11
102	SkateboardR6	11
102	PortlyPete69	11
110	j5ylim	10
110	oscminus	10
110	Onennon	10
110	claivin	10
110	hermmm_	10
110	ConnorDanky_	10
116	Sleek_Storm_721	9
116	FirsTimeGamingTV	9
116	SellyZ	9
116	IamCL4SSY	9
116	parodypatient	9
116	PlasticOtari	9
122	carloselpapii	8
122	legal_tax_evader	8
122	fkGrim	8
122	Ze_BaronKrigler	8
122	_i_ERROR_i_	8
122	2blox_	8
128	Ryan_GEMS	7
128	MinttyFressh	7
128	Inchef	7
128	Kakolbus	7
128	DTwenty	7
128	Meatlaugh	7
128	El_Jalapeno	7
128	pixelviolin	7
136	Tobinator_007	6
136	LoboTheLobster	6
136	Fullut	6
136	groggregg42	6
136	lorpus	6
136	mimbo1211	6
136	Enderxz3	6
143	lorywithay	5
143	dopplexd	5
143	thescout7	5
143	noam464	5
143	LexMakesHistory	5
143	VentiHilton	5
149	seanitoo	4
149	12Magner05	4
149	xxPipperDipperxx	4
149	U_Mos_	4
149	JETrotter	4
149	Hiryu27	4
149	selectrix	4
149	Kynigito	4
149	EdGalbraith	4
149	NomadicRobin_	4
149	Steelynan	4
149	Nicserso	4
149	AltnumberF4	4
149	CrazyPotater	4
149	WYFYoyo	4
164	pintsizedrogue	3
164	Mr_Byzantine	3
164	NatrixxddxYT	3
164	CoffeeNoir	3
164	NieToksikpl	3
164	ThePoliteG	3
164	SteveCraftBlocks	3
164	PegLegPete93	3
164	thgrocks	3
164	lizardfightclub	3
164	tyraxxx	3
164	wezzzi	3
164	Pumpkin_P_Patch	3
164	SammiWolfGirl	3
164	Deguns123	3
179	PazinGaming	2
179	EKUG	2
179	RoseLilyTV	2
179	abdomera	2
179	Julmish	2
179	Euclidoris	2
179	crying_wolf_13	2
179	Awyrlas	2
179	emrekn	2
179	SPUDonSTEROIDS	2
179	gcaisawesome	2
179	Boogaloo242	2
179	Reneedium	2
179	seramalen	2
179	TheShyPig	2
179	Y_A_N_N_I	2
179	KlausVonStiglitz	2
179	Racengan	2
179	_Meow_Mix	2
179	Cocoamallows	2
179	__tomato	2
179	taengoos	2
179	jnp_gaming	2
179	UrbanPlanningEx	2
179	Empresario	2
204	jjettii	1
204	CLG_Kata	1
204	PhantomsGhost_	1
204	dudcreeper	1
204	ItsColin11	1
204	remgrandt	1
204	_Razaria	1
204	T045RTY	1
204	Natty	1
204	SidorAlex	1
204	SquadMonster	1
204	Pofen	1
204	Crowman1	1
204	Gary120	1
204	jacxhadow	1
204	Jakobo1337	1
204	DarkDescent2392	1
204	_Nuf	1
204	Secret_Canary	1
204	set67	1
204	crashomon	1
204	MyNameIsJobo	1
204	Snowflowe	1
204	ApophisNova	1
204	Kouridragon	1
204	Truckoss	1
204	jewbacaman	1
204	Shortest_Man	1
204	wirelesstree	1
204	Lord_Jord	1
204	ogoa	1
204	audiocracked	1
204	Fuad_R	1
204	_Karmaa	1
204	Shogunite	1
204	Warlord324	1
204	sp00ky_ghost977	1
204	stavgod	1
204	BlankityMcBlank	1
204	tsitrawhy	1
204	Juh1s	1
204	LeEricc	1
204	Eczbek	1
204	elliebelle107	1
204	MyNamaSheff	1
204	annebolyn	1
204	h2p_emrld	1
