rank	username	minecraft:dropped/minecraft:amethyst_block
1	Frozil20	41106
2	Hyp3rion_	6732
3	Jackattack53	2248
4	diamondgolem35	1412
5	Smashic	829
6	pixelviolin	462
7	thewindmillman	387
8	ECstardust	348
9	skitzxo	336
10	TheKingK_	320
11	Nicserso	269
12	Yahir091	227
13	hanaryheatwave	216
14	Secret_Canary	207
15	Kowcio_	197
16	SvenskaHugo	187
17	k_ce	170
18	MilleGrug	163
19	Enderxz3	160
20	TheBananaKat	152
21	luseis	141
22	Mookle96	128
22	CollinMH06	128
24	Spenduh	126
25	Blaiku	121
26	Masssonnn	112
27	12Magner05	106
28	Lez_	89
29	Di_infiri	87
30	beeperbeeper5	83
31	RatatJuice	77
32	Manaateee	69
33	hasnpetal	64
33	Mr_Sun15	64
33	ThymeTraveler	64
33	Fuad_R	64
33	cichy096	64
38	_i_ERROR_i_	63
39	ScootOfBoot	51
39	Hahaa_0	51
41	Winklepicker279	44
42	Mr_Byzantine	42
43	pretty_pink_reno	41
44	StarCookiees_	38
45	YungMaki	35
46	Segotep999	34
47	EdGalbraith	30
48	PazinGaming	28
48	MSK__	28
50	Frigzy_	24
50	TheDankPlatypus	24
50	zToasty69z	24
50	TheOuterCore	24
54	77Holly7	22
55	excelsionprime	21
56	Samificator	20
57	SOA1RR	19
57	Da_Boss_Rani	19
59	skroobiez	18
59	Mattesco	18
61	pintsizedrogue	17
61	fade_emerge78823	17
61	MrShojo	17
61	LeEricc	17
65	fragrantmonke444	16
66	gabukun_	15
66	TheSecondLord	15
68	OreTheBear	14
69	Hetti301	13
70	500am	12
71	ItsGrayWolf	11
71	Spacewardharpy7	11
73	Alteriity	10
73	noam464	10
73	Jonafrog99	10
76	TooPure2	9
77	CheifJumbo	8
77	NATE_the_HALO	8
79	Groovy_MoonBird	6
79	MrKrabOnCoke	6
79	Chickenchaser2	6
79	Kakolbus	6
79	fw3xy74	6
79	iSammael	6
85	powercas_gamer	5
85	Mahoose	5
85	SteveCraftBlocks	5
85	YuenKei	5
89	EMC_	4
89	AlexxO_o	4
89	Dakar_	4
89	NameGenerat0r	4
89	alanbleachdemon	4
94	xfemboyx	3
94	T045RTY	3
94	ZaneABrain	3
94	_Nat666	3
94	cyrusisntgay	3
94	Nach0Bear	3
94	Mr_Froxy	3
101	chrolus	2
101	Creativebuilder2	2
101	gren_ben	2
101	Inchef	2
101	ARandomHedge	2
101	breadbowlgamer	2
101	PaperCanvas	2
101	Elastiq	2
101	MAns_44	2
101	TheWickedBird	2
101	00000000-0000-0000-0009-01ff0c3e5e4f	2
112	H0UNDFRMH3LL	1
112	shineh10	1
112	Hydro___________	1
112	xxPipperDipperxx	1
112	crashomon	1
112	oscminus	1
112	Moofyman	1
112	dartwaffle	1
112	HolyVenom	1
112	Penguinllama517	1
112	Racengan	1
112	lordpipe	1
112	tsitrawhy	1
112	Weepingbiel	1
