rank	username	minecraft:dropped/minecraft:glow_berries
1	500am	201
2	beeperbeeper5	166
3	Smoke____	77
4	EMC_	54
5	thewindmillman	51
6	Inchef	33
7	Segotep999	31
8	Enderslayerxz3	29
9	dartwaffle	22
10	Kowcio_	17
11	SammiWolfGirl	16
12	Rebytre	13
13	TJawesome09	11
14	Spenduh	10
15	egglapras	9
16	Hyp3rion_	8
16	Jiminie	8
16	microcrisp	8
19	rarrq	6
19	lordpipe	6
19	WYFYoyo	6
22	ChampPog_	5
23	Blackberry1310	4
23	Smashic	4
23	Akoot_	4
23	shrimp_flips	4
27	prizm_	3
27	The_Fulgurator	3
27	TheALV	3
30	pintsizedrogue	2
30	Mahoose	2
30	PhantomBionic	2
30	SteveCraftBlocks	2
30	Jackattack53	2
30	Jeteight	2
30	Jonte0599	2
30	Dan_Scha	2
30	Yahir091	2
39	itburb	1
39	CoffeeNoir	1
39	Lez_	1
39	joethahobo	1
39	Sleepy_Time_	1
39	TheSecondLord	1
39	fade_emerge78823	1
39	2Stout	1
39	PigDab	1
39	NomadicRobin_	1
39	SvenskaHugo	1
39	EtherealEspresso	1
39	Steelynan	1
