rank	username	minecraft:dropped/minecraft:yellow_concrete_powder
1	Hyp3rion_	64518
2	Jackattack53	2810
3	thewindmillman	2064
4	noam464	1793
5	lillips	900
6	Blackberry1310	384
7	Jimb0nat0r	320
8	Akoot_	281
9	_Huge_Male_	192
9	Awyrlas	192
11	Alteriity	128
12	Snowflowe	64
12	Kowcio_	64
12	Nicserso	64
15	Soplight	40
16	Lez_	26
17	Archsam	15
18	h2p_emrld	3
19	Frozil20	2
19	kekhon	2
19	obzii	2
19	jnp_gaming	2
23	pintsizedrogue	1
23	imcombxt	1
23	Rebytre	1
23	YungMaki	1
23	Sheldor097	1
23	Weepingbiel	1
