rank	username	minecraft:dropped/minecraft:moss_carpet
1	thewindmillman	11103
2	Hyp3rion_	7022
3	noam464	5841
4	Jackattack53	2142
5	EMC_	1514
6	skitzxo	1412
7	Iamthejo	1332
8	luseis	1055
9	Yamdalorian	736
10	beeperbeeper5	718
11	SpacesickPrism	635
12	Alteriity	538
13	Touched_Bread	460
14	Inchef	352
15	non089	228
16	shadowthemonkey	222
17	Lez_	205
18	EveryonesUncle	199
19	Manaateee	181
20	AlexxO_o	154
21	PazinGaming	146
22	_i_ERROR_i_	130
23	k_ce	125
24	hanaryheatwave	106
24	MAns_44	106
26	SvenskaHugo	104
27	pintsizedrogue	98
27	Enderxz3	98
29	joethahobo	94
30	Krowuss	93
31	Mahoose	86
32	500am	79
33	j5ylim	77
33	Kowcio_	77
35	Crowman1	73
36	Hydro___________	72
37	eitanzaki	69
37	RebytreGT	69
39	ImpavidArcher	64
39	Gus2005	64
41	12Magner05	63
42	Nicserso	61
43	crashomon	60
44	Segotep999	56
45	TheKingK_	50
46	TJawesome09	48
46	NomadicRobin_	48
48	Mr_Sun15	47
49	lordpipe	46
49	EngagedGrub41	46
51	77Holly7	44
52	EtherealEspresso	39
53	pixelviolin	38
54	Archsam	37
55	MSK__	35
56	_Huge_Male_	34
56	Jimb0nat0r	34
58	Moofyman	31
59	ECstardust	30
59	SuperPooch06	30
61	Mr_Byzantine	27
62	SteveCraftBlocks	25
62	Smashic	25
64	CoffeeNoir	24
64	EcksD	24
66	tuckerdoodle	23
66	Fuad_R	23
66	YungMaki	23
69	Samificator	22
69	iSammael	22
71	Flores991	20
72	BINKENSTOCK	19
73	ShedJr_	18
73	TheSecondLord	18
73	PlasticOtari	18
76	hm947	17
77	2Stout	16
77	Pumpkin_P_Patch	16
77	Spenduh	16
77	Steelynan	16
81	AstreaTSS	15
81	00000000-0000-0000-0009-01ff0c3e5e4f	15
83	myaccountwasgone	14
83	pretty_pink_reno	14
83	LeEricc	14
86	Merv__	12
86	benediktine1	12
88	Sleepy_Evelyn	11
88	Hahaa_0	11
90	Jonafrog99	10
90	Mattesco	10
90	EdGalbraith	10
93	Huwulling	9
93	prizm_	9
93	Marbz_	9
93	calamariclam_I	9
97	TooPure2	8
97	BungalowBeet	8
99	I_Moose	7
99	Buuck_	7
99	MrShojo	7
99	2blox_	7
103	SyntheticSurgeon	6
103	lorpus	6
103	groofles	6
106	Killercatty78	5
106	Di_infiri	5
106	goldyx	5
106	Mr_Froxy	5
106	Dan_Scha	5
106	GooseWithin	5
106	NameGenerat0r	5
106	Human_Resource	5
114	H0UNDFRMH3LL	4
114	DinoDoctor_	4
114	Da_Boss_Rani	4
114	Fullbit_	4
114	Kakolbus	4
114	Gzrdy	4
114	oscminus	4
114	PigDab	4
114	ConJaBz	4
114	TheEnderMan548	4
114	mobunni	4
114	CattSoup	4
126	cyuar	3
126	Sleepy_Time_	3
126	Valoth	3
126	JETrotter	3
126	Soplight	3
131	Frigzy_	2
131	Tommhh	2
131	LagVibes	2
131	lorywithay	2
131	MrKrabOnCoke	2
131	akap47	2
131	HUNTERmaun	2
131	Blackberry1310	2
131	XboxPanda	2
131	Werbe	2
131	DarkS0L	2
131	HairballHacker10	2
131	Spacewardharpy7	2
131	mihimihimihi	2
131	sp00ky_ghost977	2
131	StarCookiees_	2
131	hermmm_	2
131	WYFYoyo	2
149	CLG_Kata	1
149	Apollo_993	1
149	SoosAmongus	1
149	BPTY4618	1
149	q_wq	1
149	nattybears	1
149	skroobiez	1
149	e_hernandez57	1
149	SquadMonster	1
149	Hetti301	1
149	_HoneySlime_	1
149	excelsionprime	1
149	fade_emerge78823	1
149	olliebollie48	1
149	Reneedium	1
149	Skylord_Luke	1
149	PaperCanvas	1
149	zToasty69z	1
149	parodypatient	1
149	fw3xy74	1
149	NumbaOneMunch	1
149	Dakar_	1
149	fluddd	1
149	wwwwinnebagoooo	1
149	Synthoum	1
149	CheifJumbo	1
149	ItsDeltaMC	1
149	Eczbek	1
149	annebolyn	1
149	TheWickedBird	1
