rank	username	minecraft:dropped/minecraft:rabbit_stew
1	Tyrannosplart	56
2	Werbe	39
3	beeperbeeper5	28
4	RebelAndroid	23
5	HellsSponge	17
6	thewindmillman	14
7	Skylord_Luke	11
8	diamondgolem35	10
8	EngagedGrub41	10
10	Powowowow	9
11	Akoot_	7
11	AdmiralSmoke	7
13	_Virify_	3
13	lordpipe	3
13	geekbird	3
16	kekhon	2
16	EveryonesUncle	2
18	jspwn	1
18	Incinere	1
18	Mahoose	1
18	Blackberry1310	1
18	lorpus	1
18	Inchef	1
18	Kynigito	1
18	JESS_THE_RERE	1
18	starbits140	1
18	Soplight	1
18	CalebDHawk	1
18	Ezekson	1
18	Jimb0nat0r	1
