rank	username	minecraft:dropped/minecraft:chiseled_polished_blackstone
1	noam464	1300
2	eitanzaki	207
3	Blaiku	196
4	thewindmillman	84
5	Lord_Jord	29
6	Cowison	23
7	FishyBoy3811	19
8	cichy096	18
9	Enderslayerxz3	16
10	lillips	13
11	Solar_Power	9
12	Fullut	7
13	Freak_Genius	6
13	YungMaki	6
13	Segotep999	6
13	GlitchyPlate810	6
17	ShedJr_	5
18	TheSecondLord	4
18	mwrty	4
18	Di_infiri	4
18	AlexxO_o	4
22	NomadicRobin_	3
22	Dusk_95	3
24	lizardfightclub	2
24	Legendosh	2
24	Teebone15	2
27	pintsizedrogue	1
27	MSK__	1
27	Awyrlas	1
27	Snowflowe	1
27	Werbe	1
27	Spacewardharpy7	1
27	Bonzaidalek	1
27	Eraxa	1
27	pixelviolin	1
27	Kubeusz2010	1
27	Xi_J1nping	1
27	PlasticOtari	1
