rank	username	minecraft:dropped/minecraft:music_disc_cat
1	HellsSponge	207
2	Blu3beast	38
3	_Bguette_	21
4	ApophisNova	14
4	MyNamaSheff	14
6	eitanzaki	8
6	YungMaki	8
8	pintsizedrogue	7
9	surfinggiraffejp	5
9	chipklip	5
9	Segotep999	5
9	TechnoNinja64	5
13	Mahoose	4
13	Zaridey	4
13	KliBeast21	4
13	Akoot_	4
13	Frozil12	4
18	seanitoo	3
18	Bandito_Roamer	3
18	beeperbeeper5	3
18	Jackattack53	3
18	Bumpy419	3
18	_naturell	3
18	yulgur1	3
18	lcvezra	3
18	Powowowow	3
18	PlasticOtari	3
28	ItsColin11	2
28	kekhon	2
28	thescout7	2
28	The11thDoctor	2
28	seramalen	2
28	fred870d	2
28	aec9	2
28	FishyBoy3811	2
28	TheTrueClipse	2
28	Freak_Genius	2
28	fluddd	2
28	Spacewardharpy7	2
28	ItsDeltaMC	2
28	Eraxa	2
28	Miko_Fullbuster	2
28	EcksD	2
44	MunkaKris	1
44	nataliecool	1
44	PhantomsGhost_	1
44	Drlzyy	1
44	TildaAndrea	1
44	diamondgolem35	1
44	Saltymart	1
44	itburb	1
44	ImpavidArcher	1
44	BlancoFlaco	1
44	ivorico	1
44	joethahobo	1
44	rarrq	1
44	LoboTheLobster	1
44	Euclidoris	1
44	Blackberry1310	1
44	TheSecondLord	1
44	bloodbiter	1
44	m_be9	1
44	ProfessorBee	1
44	rpmm	1
44	AJbeast01	1
44	emrekn	1
44	Inchef	1
44	xxPipperDipperxx	1
44	gcaisawesome	1
44	noam464	1
44	fallingemma	1
44	SuperPooch06	1
44	thewindmillman	1
44	Zythose	1
44	GreedyFern8581	1
44	_8man	1
44	Oliver_Frost	1
44	Skylord_Luke	1
44	Werbe	1
44	CruncyIsTaken	1
44	TheShyPig	1
44	ILoveCarrot	1
44	Serenqeti	1
44	fw3xywashere	1
44	SpookyDraggin	1
44	censorsheep	1
44	Bloo2406	1
44	Groundler	1
44	Th6masss	1
44	Cocoamallows	1
44	pixelviolin	1
44	yatsuta	1
44	LilcoinXX	1
44	Kijiki	1
44	tsitrawhy	1
44	Luigipunch989	1
44	jcool7	1
44	MilleGrug	1
44	Ezekson	1
44	Enderslayerxz3	1
44	jnp_gaming	1
44	MeetTheWollo	1
44	vandmanden	1
44	kinas45y5	1
44	EcksDofficial	1
44	00000000-0000-0000-0009-01f898304150	1
