rank	username	minecraft:dropped/minecraft:cobbled_deepslate_slab
1	gcaisawesome	11398
2	500am	512
3	H0UNDFRMH3LL	448
4	AltnumberF4	401
5	Kowcio_	396
6	Spaghettatron	230
7	hm947	94
8	Crowman1	73
9	prizm_	69
10	Hyp3rion_	64
11	Yamdalorian	57
12	Mattesco	39
13	Masssonnn	32
13	SvenskaHugo	32
15	Manaateee	28
16	thewindmillman	22
17	gamerlord1324	18
18	knarian	15
19	k_ce	11
20	Huwulling	10
21	TheSecondLord	8
21	Jackattack53	8
23	PazinGaming	7
23	dartwaffle	7
23	mihimihimihi	7
26	ECstardust	6
26	EMC_	6
26	MyMawgDonaldsGon	6
29	tuckerdoodle	4
29	EveryonesUncle	4
31	12Magner05	3
31	non089	3
33	Mahoose	2
33	lordpipe	2
33	CacheOut	2
33	Colmer94	2
33	calamariclam_I	2
38	HUNTERmaun	1
38	excelsionprime	1
38	cutelilreno	1
38	Buuck_	1
38	PlasticOtari	1
