rank	username	minecraft:dropped/minecraft:stripped_dark_oak_wood
1	Rebytre	154
2	EveryonesUncle	57
3	ConnorDanky_	23
4	KingMatthew506	22
5	eitanzaki	20
6	Manaateee	16
7	rarrq	11
8	luseis	9
9	FreakGenius	4
10	Blackberry1310	3
10	mattybeewrapss	3
10	500am	3
10	MyNameIsJobo	3
14	JohnnyFyes	2
14	ImpavidArcher	2
14	Mahoose	2
14	Spacewardharpy7	2
14	Ezekson	2
19	T045RTY	1
19	Huwulling	1
19	noam464	1
19	SuperPooch06	1
19	thewindmillman	1
19	Werbe	1
19	The11thDoctor	1
19	iSammael	1
19	SpacesickPrism	1
