rank	username	minecraft:dropped/minecraft:deepslate_tile_stairs
1	Hyp3rion_	1535
2	mihimihimihi	563
3	Jackattack53	183
4	TheBananaKat	117
5	hanaryheatwave	68
6	91stCataclysm	64
6	Skylord_Luke	64
6	Moofyman	64
6	GooseWithin	64
10	Sleepy_Time_	56
11	TheSecondLord	50
12	Fuad_R	46
13	JETrotter	41
14	luseis	19
15	noam464	18
16	EMC_	16
16	Solar_Power	16
18	AltnumberF4	13
19	hm947	12
19	thewindmillman	12
21	Manaateee	9
22	AdmiralSmoke	8
23	beeperbeeper5	5
23	rarrq	5
23	PlasticOtari	5
26	ImpavidArcher	4
27	k_ce	3
28	ECstardust	2
28	Marbz_	2
30	H0UNDFRMH3LL	1
30	Crowman1	1
30	Kowcio_	1
30	Ezekson	1
30	00000000-0000-0000-0009-01ff0c3e5e4f	1
