rank	username	minecraft:dropped/minecraft:oak_slab
1	Spacewardharpy7	8117
2	eitanzaki	671
3	SSytex_X	656
4	Mr_Byzantine	618
5	hcb238	564
6	AlphaWolfPlaysMC	335
7	Groovy_MoonBird	303
8	Gingayy	271
9	Kakolbus	229
10	Smoke____	219
11	DarkS0L	216
12	KingMatthew506	213
13	Zoeyfortnite	205
14	noam464	204
15	AltnumberF4	160
16	PigDab	159
17	Racengan	151
18	oxfordschool	138
19	Mahoose	133
20	thescout7	132
21	Ezekson	127
22	Sheldor097	126
23	KGTV	117
24	Xclax101	115
25	Megarboh	108
26	LilLizardWizard	104
27	Freak_Genius	103
28	Segotep999	100
29	kekhon	99
30	SaucyDark	96
31	Uzbeki_John	95
31	MovingFish7	95
33	Shin69	94
34	xo_Marren_xo	90
35	Frozil12	83
36	HellsSponge	81
37	_Virify_	80
37	CoffeeNoir	80
39	ROY4LE	79
40	_Karmaa	67
41	joethahobo	66
41	obzii	66
41	ProbsNotNova	66
44	JoCoLi	65
45	Cowison	64
45	Ssor69	64
45	EcksDofficial	64
48	Quotary	62
49	ReyTheLegend	60
50	lordpipe	55
51	EcksD	54
52	Blu3beast	50
53	ShowRegent	48
53	ItzYaBoiPicard	48
53	dragonstalker21	48
53	silverpopcorn	48
57	Fullut	47
58	MightyWertu	45
59	thewindmillman	44
60	BlancoFlaco	42
60	El_Jalapeno	42
62	MinerDec	41
62	SammiWolfGirl	41
64	Wowful	40
65	beeperbeeper5	39
66	WET_WET_WET	38
66	laron58	38
68	rarrq	36
68	Awyrlas	36
68	seramalen	36
68	lillips	36
72	KingFaenor	34
72	Ravenbie	34
74	benediktine1	33
75	Freedrik	32
76	Cocoamallows	30
76	Kubeusz2010	30
78	Smashic	29
78	Bumpy419	29
80	fkGrim	28
80	CSG_Haru	28
80	jcool7	28
83	Ozixar	26
83	Onennon	26
85	dopplexd	25
86	Sky_light_KING	24
86	00000000-0000-0000-0009-01f898304150	24
88	JMK208	23
89	bluefragmentt	22
89	FishisTTV	22
91	MSK__	21
91	Hyp3rion_	21
91	Skylord_Luke	21
94	EveryonesUncle	20
95	Zaridey	19
96	bndo	18
96	YungMaki	18
96	PortlyPete69	18
96	2blox	18
100	Di_infiri	17
100	Njensen7	17
102	jiggywraps	16
102	emrekn	16
102	Leyna3	16
102	Soap_Bender	16
102	Hisiste	16
102	DennyKai	16
102	Vellu21	16
109	Avermu	15
109	MinuteMira	15
109	TheEnderman548	15
112	fr0stss	14
112	DaviusMaximoose	14
112	starbits140	14
115	Blackberry1310	13
115	Luigipunch989	13
117	hm947	12
117	xPixelRainx	12
117	TableTim	12
117	domagawha	12
117	Blaiku	12
117	Hermanni__	12
123	Dan_Scha	11
123	Lord_Jord	11
125	bloodbiter	10
125	MyNameIsJobo	10
125	Quaintster	10
125	fluddd	10
125	yatsuta	10
130	Snowflowe	9
130	Shogunite	9
130	ItsDeltaMC	9
133	soundad	8
133	funnyblitz123	8
133	M_Patata	8
133	wrinkledpiglet	8
133	chipklip	8
133	MasterNueve	8
139	yaboo88	7
139	NoChumpChange	7
139	Typadopoulos	7
139	LilcoinXX	7
139	Powowowow	7
144	Jovaphobic	6
144	mwrty	6
144	Inchef	6
144	AuroraSkies	6
144	Steven1282598	6
144	__Auspicious	6
144	Nagasaki_Riku	6
144	Nekomin0	6
144	cichy096	6
144	Oxygen16	6
144	Sral7	6
155	bigstankyy	5
155	SDMNAEK	5
155	0nly_sn1per	5
155	mariominejedi	5
155	AnnieBathory	5
155	Rasmanden	5
155	tyraxxx	5
155	Lord_Zacler	5
155	GravitySaint	5
155	_k2x	5
155	Barlycorn	5
155	Eraxa	5
155	_Tilariel_	5
155	MilleGrug	5
155	Steelynan	5
155	Calbo_	5
171	PhantomsGhost_	4
171	T045RTY	4
171	youhjjhhhjj	4
171	picardred	4
171	ThePoliteG	4
171	SteveCraftBlocks	4
171	redikul	4
171	Matek_	4
171	Rumpletaezer	4
171	iTurbo	4
171	RobotMinion101	4
171	TheShyPig	4
171	Nicky19	4
171	natajimi	4
171	DanTheBuilderino	4
171	censorsheep	4
171	SvenskaHugo	4
171	Kowcio_	4
171	__tomato	4
171	stellarjay	4
171	_Wannabe_	4
171	Nicserso	4
171	PlasticOtari	4
171	kinas45y5	4
195	pintsizedrogue	3
195	heysushii	3
195	I_Am_Mushkin	3
195	NotMeanttoChange	3
195	mimbo1211	3
195	Roosje69	3
195	_Cloverbelle_	3
195	TJawesome09	3
195	Akoot_	3
195	BumbleBeever	3
195	SkateboardR6	3
195	07shiny	3
195	Soplight	3
195	Dreamdbr14	3
195	anbbang	3
210	seanitoo	2
210	Elprone266	2
210	pZygh0st	2
210	KarlKaek	2
210	claremackie	2
210	Gundam_Steven	2
210	TinMaster	2
210	Rich_Kat	2
210	_Dean_123	2
210	TheDiamondCG	2
210	slkiey	2
210	Kkanot	2
210	set67	2
210	r123moore	2
210	platinumzero	2
210	AJplaysMC_	2
210	whoaluv	2
210	Fast_Turtle	2
210	Donutt	2
210	Corbsman	2
210	Werbe	2
210	fred870d	2
210	Shiirazuku	2
210	RodSerlingCringe	2
210	NomadicRobin_	2
210	_Bguette_	2
210	Lutres_Torane	2
210	The_slideV3	2
210	Quincannon	2
210	EfficientC52	2
210	Ripzch	2
210	BlankityMcBlank	2
210	UCP_TheKingK	2
210	jaimshae	2
210	lcvezra	2
210	TitanCrafting	2
210	camando92	2
247	Louiis123	1
247	fanofbands101	1
247	Lotheburgh	1
247	EMC_	1
247	Da_Boss_Rani	1
247	FirsTimeGamingTV	1
247	NasdaqCrash	1
247	TheThomas69	1
247	himak1	1
247	gcaisawesome	1
247	NotKaden_	1
247	Winklepicker279	1
247	Freeman666	1
247	gabriels543	1
247	burbankbuilder28	1
247	_8man	1
247	impossibleteapot	1
247	ApophisNova	1
247	k1ngGilgamesh	1
247	StormPool	1
247	Gmoney390	1
247	DC_XII	1
247	CarryLine	1
247	Drewen24	1
247	Maenara	1
247	wezzzi	1
247	Jiminie	1
247	Shoutur1	1
247	claivin	1
247	QueenShuvi	1
247	NotMeowMix	1
247	IAmTheWalrus910	1
247	EtherealEspresso	1
247	Juh1s	1
247	Drawgirll	1
247	LeeMcGee30	1
247	BreadBacon	1
247	MyNamaSheff	1
247	JasmineGK	1
247	Legendosh	1
247	diggydog67	1
