rank	username	minecraft:dropped/minecraft:blue_ice
1	EcksD	17060
2	mihimihimihi	2523
3	ougstur	1989
4	noam464	1791
5	gcaisawesome	1576
6	Eraxa	583
7	Kowcio_	453
8	TechnoNinja64	431
9	IamCL4SSY	384
10	eitanzaki	374
11	Blaiku	349
12	lillips	253
13	I_Am_Mushkin	226
14	thewindmillman	209
15	rarrq	194
16	livingdaydreams	192
17	Akoot_	184
18	r123moore	140
19	EMC_	121
20	beeperbeeper5	103
21	500am	66
21	gusstationwerker	66
23	pintsizedrogue	65
23	obzii	65
25	Groundler	61
25	Faart	61
27	jcool7	60
28	SuperPooch06	59
29	TheSecondLord	56
30	Enderxz3	55
31	MovingFish7	48
32	stellarjay	32
33	jnp_gaming	30
34	FreakGenius	28
35	PlasticOtari	24
36	Frozil20	22
36	lordpipe	22
38	Fullut	21
38	Blu3beast	21
38	Ezekson	21
41	Euclidoris	19
41	thescout7	19
43	corpsecity	17
44	weabis	16
45	Racengan	13
46	Tyrannosplart	12
46	HesDemonPants	12
48	SmashingPump	11
48	joethahobo	11
48	Lord_Zacler	11
48	bladeefan2009	11
52	Onennon	10
53	Vizzoid	7
53	MilleGrug	7
55	Lord_Jord	6
55	YungMaki	6
57	Fuad_R	5
57	HellsSponge	5
59	Spacewardharpy7	4
60	Cryptacity	3
60	Mythic1130	3
60	anbbang	3
63	Arceus1975	2
63	_8man	2
63	ApophisNova	2
63	yulgur1	2
63	MyNamaSheff	2
63	Zoeyfortnite	2
63	Smoke____	2
70	PhantomsGhost_	1
70	6king6colt6	1
70	imthatpikachu	1
70	Mahoose	1
70	Lez_	1
70	ITDV	1
70	Secret_Canary	1
70	ROY4LE	1
70	Di_infiri	1
70	Hyp3rion_	1
70	Werbe	1
70	NomadicRobin_	1
70	handsome_strong	1
70	RoofTyler	1
70	fluddd	1
70	MightyWertu	1
70	Hisiste	1
70	__tomato	1
70	ediballbearings	1
70	ProbsNotNova	1
70	UrbanPlanningEx	1
70	Jimb0nat0r	1
70	Sral7	1
