rank	username	minecraft:dropped/minecraft:ladder
263	mariominejedi	2
263	Rumpletaezer	2
263	hanaryheatwave	2
263	LilyNova	2
263	XxCookiequeenxX	2
263	_Karmaa	2
263	JosephCW	2
263	Ze_BaronKrigler	2
263	yatsuta	2
263	xzvu	2
263	Nekomin0	2
263	obzii	2
263	HAruSAme14	2
263	Dogcorn69420	2
