rank	username	minecraft:dropped/minecraft:stone_hoe
1	H72l9w	352
2	MOSS000	251
3	noam464	119
4	gcaisawesome	81
5	Hiryu27	72
6	eitanzaki	53
7	joethahobo	37
7	WyngGoy	37
9	Hylitee	32
10	Rumpletaezer	30
11	ZaneABrain	28
11	Blaiku	28
13	Mahoose	23
14	beeperbeeper5	18
14	pixelviolin	18
16	Hyp3rion_	17
17	FishyBoy3811	15
18	ItsColin11	14
19	T045RTY	12
19	Werbe	12
19	PigDab	12
19	CalebDHawk	12
23	Jackattack53	11
23	JESS_THE_RERE	11
25	CoffeeNoir	10
26	kekhon	9
26	__tomato	9
28	youhjjhhhjj	8
28	fallingemma	8
28	Akoot_	8
31	BlueZabu	7
31	chipklip	7
31	El_Jalapeno	7
31	Xclax101	7
31	jcool7	7
36	Kamflame10	6
36	LordSpeed37	6
38	Smashic	5
38	aec9	5
38	_Karmaa	5
38	laron58	5
38	TechnoNinja64	5
43	ImpavidArcher	4
43	Base_Tempest	4
43	Blackberry1310	4
43	thescout7	4
43	emrekn	4
43	Zoeyfortnite	4
49	squigglybones	3
49	Ryker	3
49	firesgal3116	3
49	SteveCraftBlocks	3
49	Motsaro	3
49	Arceus1975	3
49	thewindmillman	3
49	Lord_Jord	3
49	Freak_Genius	3
49	Blu3beast	3
49	Luigipunch989	3
49	gaming4Naming	3
49	Kferno	3
49	EcksD	3
49	FGamerJ	3
64	Groovy_MoonBird	2
64	Tommhh	2
64	numbra	2
64	gaziter10	2
64	TheSecondLord	2
64	Guillemet	2
64	AJbeast01	2
64	Gingayy	2
64	hcb238	2
64	Bazongoman	2
64	Zythose	2
64	NarwhalTaco	2
64	Bumpy419	2
64	Skylord_Luke	2
64	ApophisNova	2
64	Onennon	2
64	Shiirazuku	2
64	__Chaos__	2
64	groofles	2
64	ILoveCarrot	2
64	audiocracked	2
64	Deathkob	2
64	HellsSponge	2
64	bluemage31	2
64	ProfessorDiaper	2
64	lordpipe	2
64	MrWataby	2
64	_TCARREIRA_	2
64	DennyKai	2
64	oxfordschool	2
64	MyNamaSheff	2
64	blackmage426	2
64	Powowowow	2
64	BiggieDawg	2
98	pintsizedrogue	1
98	ProbablyNick	1
98	EMC_	1
98	bigstankyy	1
98	hm947	1
98	RebelAndroid	1
98	openatheclose	1
98	TAKrules	1
98	Rox_The_Box	1
98	Hormones	1
98	ShedJr_	1
98	ChampPog_	1
98	rarrq	1
98	heckface	1
98	Prodiginus	1
98	aikabot	1
98	Malorn_Aetherius	1
98	Cryptacity	1
98	bloodbiter	1
98	Ravenbie	1
98	GingerNeutron	1
98	leaf26	1
98	crying_wolf_13	1
98	egglapras	1
98	Awyrlas	1
98	ketaminmann	1
98	VanJosh	1
98	rocklobster2012	1
98	Touched_Bread	1
98	IceYoung	1
98	eiC_	1
98	dragonwarrior206	1
98	Marbz_	1
98	SlayerCrypto	1
98	AJplaysMC_	1
98	wTXop	1
98	AlexStrange	1
98	Fast_Turtle	1
98	regulator75	1
98	Voxin2K	1
98	The11thDoctor	1
98	RobotMinion101	1
98	fred870d	1
98	wrinkledpiglet	1
98	jewbacaman	1
98	victorLIE	1
98	Kryktal	1
98	LilLizardWizard	1
98	Dan_Scha	1
98	NormanFetus	1
98	RodSerlingCringe	1
98	ADEXTV	1
98	AlphaWolfPlaysMC	1
98	masskedman	1
98	Lord_Zacler	1
98	Jiminie	1
98	ori0le	1
98	balin55	1
98	Karbl	1
98	GlitchMixed	1
98	comjosh64	1
98	Deerfoot	1
98	Frozil12	1
98	fluddd	1
98	Ashton1242	1
98	Matorz	1
98	Warlord324	1
98	SkateboardR6	1
98	Hisiste	1
98	Spacewardharpy7	1
98	bndo	1
98	NebulousBadger	1
98	layabout100	1
98	legoclone09	1
98	stavgod	1
98	Soul_Atreus	1
98	Eraxa	1
98	TheEnderman548	1
98	MineMaster0012	1
98	UCP_TheKingK	1
98	lcvezra	1
98	Chuglyfe	1
98	snizv1	1
98	CoryJJ	1
98	Seindi	1
98	PlzNoBM	1
98	KingMatthew506	1
98	Ezekson	1
98	cichy096	1
98	BreadBacon	1
98	OnlyOfficial	1
98	Enderslayerxz3	1
98	PlasticOtari	1
98	kinas45y5	1
98	WYFYoyo	1
98	JayToe	1
