rank	username	minecraft:dropped/minecraft:mangrove_planks
1	k_ce	429
2	Jimb0nat0r	156
3	Segotep999	140
4	KarlKaek	131
5	hanaryheatwave	64
6	beeperbeeper5	60
7	Mr_Byzantine	39
7	TheWickedBird	39
9	skitzxo	31
10	Jackattack53	29
11	EMC_	28
12	Steelynan	22
13	fragrantmonke444	13
13	Kowcio_	13
15	12Magner05	12
16	Merv__	11
17	noam464	10
17	luseis	10
19	Zeezap	9
20	Yamdalorian	8
21	pretty_pink_reno	4
22	Mattesco	3
22	TheKingK_	3
24	Lez_	2
24	SteveCraftBlocks	2
24	Smashic	2
24	Touched_Bread	2
24	thewindmillman	2
24	EcksD	2
30	pintsizedrogue	1
30	Sleepy_Evelyn	1
30	Fuad_R	1
30	Pumpkin_P_Patch	1
30	Soplight	1
30	Enderxz3	1
