rank	username	minecraft:dropped/minecraft:dead_fire_coral_block
1	eitanzaki	63
2	pintsizedrogue	51
3	1442	27
4	Blu3beast	12
5	NotoriousNina	7
6	DarkLawD	6
7	The11thDoctor	5
8	hm947	4
8	kekhon	4
8	Jackattack53	4
8	Xclax101	4
12	M_Patata	3
12	burbankbuilder28	3
12	chipklip	3
12	MasterNueve	3
16	ImpavidArcher	2
16	TheSecondLord	2
16	fr_ser	2
16	lillips	2
16	silverpopcorn	2
16	h2p_emrld	2
22	maxdacatv2	1
22	beeperbeeper5	1
22	FirsTimeGamingTV	1
22	ThePoliteG	1
22	SuperPooch06	1
22	Skylord_Luke	1
22	Onennon	1
22	Freak_Genius	1
22	lordpipe	1
22	Eraxa	1
22	Zetsey	1
22	BlankityMcBlank	1
22	stahouo	1
