rank	username	minecraft:dropped/minecraft:blue_stained_glass
1	Hyp3rion_	534556
2	Jackattack53	55067
3	hanaryheatwave	1728
4	noam464	1214
5	Hiryu27	1114
6	AuroraValkyrie	813
7	Blu3beast	576
8	diamondgolem35	384
9	thewindmillman	352
10	pintsizedrogue	265
11	eitanzaki	193
12	Z3braYTIL	189
13	Powowowow	153
14	MightyWertu	135
15	EcksD	116
16	beeperbeeper5	78
17	Di_infiri	70
17	Tyrannosplart	70
19	TheSecondLord	69
20	Blackberry1310	66
20	Inchef	66
20	ConnorDanky_	66
23	joethahobo	64
23	The_slideV3	64
25	Mahoose	58
26	lordpipe	50
27	Lez_	39
28	_Mythic____	37
29	Doom_melon	30
30	jcool7	28
30	Steelynan	28
32	Merv__	24
33	fallingemma	22
34	Spenduh	21
35	Yamdalorian	19
36	Kowcio_	18
37	PhantomsGhost_	17
37	Alteriity	17
39	Blaiku	16
40	CliffEmAll	15
40	LuvLuvLove	15
42	Archsam	12
42	cuddlyMonster	12
44	ese_wn_po	9
44	Earlesstrain4	9
46	_Dean_123	8
47	Comma__	7
47	Krowuss	7
47	diggydog67	7
50	Saucepeh	6
51	NameGenerat0r	5
51	_i_ERROR_i_	5
51	TechnoNinja64	5
54	T045RTY	4
54	XboxPanda	4
54	LordSpeed37	4
57	BadenStayFly	3
58	Whiterooster001	2
58	miramyu	2
58	MilleGrug	2
58	The_SlideV5	2
62	PazinGaming	1
62	Huwulling	1
62	Zxhir	1
62	Crowman1	1
62	catandmoose	1
62	Studio4x32	1
62	_Nuf	1
62	SuperPooch06	1
62	Snowflowe	1
62	U_Mos_	1
62	domagawha	1
62	Onennon	1
62	Invisie	1
62	DarlaMeow	1
62	Shogunite	1
