rank	username	minecraft:dropped/minecraft:brown_candle
1	500am	96
2	lordpipe	16
3	Kowcio_	3
3	Enderxz3	3
5	j5ylim	2
6	k_ce	1
6	beeperbeeper5	1
6	Samificator	1
6	pixelviolin	1
