rank	username	minecraft:dropped/minecraft:rose_bush
1	AdmiralSmoke	512
2	Jimb0nat0r	417
3	Badenbeele	256
4	TechnoNinja64	190
5	beeperbeeper5	158
6	Lez_	149
7	Spenduh	128
8	_Huge_Male_	112
9	DarlaMeow	84
10	_Dean_123	78
11	Jackattack53	70
12	HellsSponge	69
13	PazinGaming	65
14	lillips	64
14	rezi	64
14	Eraxa	64
17	xolstoi	63
18	Ryan_GEMS	59
19	kekhon	57
20	Karetoko	53
21	joethahobo	42
21	Fullut	42
23	Soplight	37
24	Inbefour	36
25	SammiWolfGirl	34
25	Nicserso	34
27	500am	33
28	JETrotter	31
28	EveryonesUncle	31
30	k_ce	30
30	Steelynan	30
32	iElijah	28
32	CattSoup	28
34	Merv__	26
35	lordpipe	23
36	Dakar_	21
37	Crowman1	20
37	Kondzik2008	20
37	FreakGenius	20
40	Saucepeh	18
40	longappendage	18
40	sadvavilloso	18
43	Xclax101	15
44	6king6colt6	14
44	Hyp3rion_	14
44	DaviusMaximoose	14
47	Notta	13
48	TooManyDuck	12
48	Mahoose	12
48	Uzbeki_John	12
48	alderban107	12
52	eitanzaki	11
52	olliebollie48	11
52	Arceus1975	11
52	Skylord_Luke	11
52	fkGrim	11
57	Paint	10
57	shadowthemonkey	10
57	luseis	10
60	4774	9
60	Di_infiri	9
60	wrinkledpiglet	9
60	NameGenerat0r	9
60	Racengan	9
60	Spacewardharpy7	9
66	Frozil20	8
66	livingdaydreams	8
66	MattieHD	8
66	YungMaki	8
66	anbbang	8
71	burbankbuilder28	7
72	ganyuganyu	6
72	Wooptey	6
72	Drewen24	6
72	Leyna3	6
76	elmer1234	5
76	Blackberry1310	5
76	KGTV	5
76	orxngejuice	5
76	intropass	5
76	fluddd	5
76	Kowcio_	5
76	Njensen7	5
84	hollowww	4
84	Seyaboy	4
84	lotarp	4
84	Dali1465	4
84	noam464	4
84	Werbe	4
84	Syropatathe	4
84	wobn	4
84	MinuteMira	4
84	Blaiku	4
94	ZaneABrain	3
94	titanlax	3
94	TheSecondLord	3
94	MinttyFressh	3
94	thescout7	3
94	Shiirazu	3
94	HyperCave	3
94	Soap_Bender	3
94	shrimp_flips	3
94	xzvu	3
94	DkansK	3
105	Mitchasnipe	2
105	SugarMyNuggets	2
105	Killercatty78	2
105	AES784	2
105	T045RTY	2
105	fr0stss	2
105	Luna_Rosie	2
105	lunathelemon	2
105	ProfessorBee	2
105	GingerNeutron	2
105	SteveCraftBlocks	2
105	crying_wolf_13	2
105	Inchef	2
105	ROY4LE	2
105	XboxPanda	2
105	Typkazprahe	2
105	yheece	2
105	vampgey	2
105	PigDab	2
105	Huic_ostiarius	2
105	Wowful	2
105	DanTheBuilderino	2
105	Paigefly	2
105	IAmTheWalrus910	2
105	Kura2218	2
105	Kyrum2169	2
105	lcvezra	2
105	Celeste_121	2
105	SpacesickPrism	2
105	UltraZombie	2
105	CalebDHawk	2
105	Sheldor097	2
105	Vellu21	2
105	EcksD	2
105	Zoeyfortnite	2
105	calamariclam_I	2
141	pintsizedrogue	1
141	YinToYin	1
141	Matemax	1
141	Bandito_Roamer	1
141	_Virify_	1
141	heysushii	1
141	Argraol	1
141	TildaAndrea	1
141	Foof13	1
141	I_Am_Mushkin	1
141	HollieDaNugget	1
141	Huwulling	1
141	MrKrabOnCoke	1
141	ratglock	1
141	Cryptacity	1
141	12Magner05	1
141	StanceTB	1
141	_Nuf	1
141	LHQing	1
141	Scathra	1
141	lorpus	1
141	fade_emerge78823	1
141	eviltunix	1
141	SellyZ	1
141	gcaisawesome	1
141	NotKaden_	1
141	Paintz	1
141	Zaridey	1
141	Ecplosive	1
141	MyNameIsJobo	1
141	Chromary	1
141	thewindmillman	1
141	_Buffo	1
141	CasperHxly	1
141	Bumpy419	1
141	Hiryu27	1
141	The11thDoctor	1
141	Onennon	1
141	Mattesco	1
141	Kynigito	1
141	Elastiq	1
141	Akoot_	1
141	TheTrueClipse	1
141	Lord_Jord	1
141	AuroraSkies	1
141	AlphaWolfPlaysMC	1
141	_Bguette_	1
141	KermitTheKripple	1
141	Shogunite	1
141	Bloo2406	1
141	MightyWertu	1
141	Buuck_	1
141	Lunkuku	1
141	SkateboardR6	1
141	Druid95	1
141	ElectricDragon81	1
141	Bawbman	1
141	1Riot	1
141	PlzNoBM	1
141	RealBuddy	1
141	TheOnlyRake	1
141	ConnorDanky_	1
141	Quotary	1
141	Teebone15	1
141	WinterYoke	1
