rank	username	minecraft:dropped/minecraft:mangrove_log
1	noam464	36668
2	luseis	576
3	Spacewardharpy7	451
4	SvenskaHugo	448
5	Kowcio_	199
6	PazinGaming	192
7	Soplight	173
8	lordpipe	128
9	Smashic	126
10	UCP_TheKingK	120
11	Lez_	109
12	k_ce	92
13	Segotep999	88
14	pixelviolin	67
15	Jimb0nat0r	64
16	pintsizedrogue	49
17	Mr_Byzantine	30
17	lunathelemon	30
19	Steelynan	26
20	Jackattack53	24
20	Hyp3rion_	24
22	Nicserso	21
23	MrKrabOnCoke	16
24	T045RTY	14
25	Manaateee	9
26	AdmiralSmoke	8
27	Da_Boss_Rani	7
27	AlexxO_o	7
29	DinoDoctor_	6
30	Mahoose	1
30	beeperbeeper5	1
30	Mattesco	1
